지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,384607.0,9711077.0,2242098087.0
코스피,2749.21,2.58,0.09,2766.24,2769.87,2747.4,383690.0,9716112.0,2241038171.0
코스피 200,374.51,-0.12,-0.03,377.66,378.29,374.19,113243.0,6913550.0,1954317274.0
코스피 100,2829.88,-3.33,-0.12,2856.6,2861.73,2827.82,70126.0,5555412.0,1787045297.0
코스피 50,2599.78,-7.35,-0.28,2628.3,2634.36,2597.77,46172.0,4542406.0,1541705786.0
코스피 200 중소형주,1261.49,15.64,1.26,1253.12,1262.3,1246.69,43116.0,1358138.0,167271977.0
코스피 200 초대형제외 지수,262.3,0.32,0.12,264.05,264.58,261.96,93670.0,5296917.0,1464198127.0
코스피200제외 코스피지수,3436.95,33.79,0.99,3411.39,3442.42,3411.39,254667.0,2585169.0,209535024.0
코스피 200 커뮤니케이션서비스,1805.98,19.41,1.09,1800.29,1810.18,1792.29,4007.0,433758.0,114637331.0
코스피 200 건설,318.61,0.8,0.25,320.23,320.71,317.7,2617.0,75788.0,49732000.0
코스피 200 중공업,370.39,3.65,1.0,369.18,371.47,362.72,18050.0,607425.0,72991040.0
코스피 200 철강/소재,832.9,3.17,0.38,835.36,836.78,828.47,1956.0,227537.0,57870271.0
코스피 200 에너지/화학,1332.98,4.75,0.36,1340.17,1342.58,1326.11,5637.0,478902.0,126051700.0
코스피 200 정보기술,3585.15,-2.11,-0.06,3617.69,3642.87,3580.93,27481.0,2656091.0,742508902.0
코스피 200 금융,775.74,-8.19,-1.04,788.73,789.47,771.23,14401.0,380447.0,197886757.0
코스피 200 생활소비재,821.66,18.68,2.33,805.86,823.22,801.92,5394.0,461994.0,81499400.0
코스피 200 경기소비재,1666.91,-5.13,-0.31,1683.75,1685.84,1659.27,11949.0,615883.0,166501775.0
코스피 200 산업재,639.55,4.42,0.7,638.88,642.55,633.96,16816.0,570967.0,208036163.0
코스피 200 헬스케어,1927.57,1.59,0.08,1942.13,1953.41,1925.82,4935.0,404760.0,136601935.0
음식료품,3499.41,104.18,3.07,3404.57,3506.75,3393.38,3007.0,137891.0,24605263.0
섬유의복,272.81,12.11,4.65,261.92,274.68,260.5,2842.0,44725.0,6511197.0
종이목재,300.9,1.96,0.66,299.5,304.2,298.9,8334.0,14623.0,2676183.0
화학,4648.32,61.67,1.34,4620.88,4658.6,4599.46,20580.0,929033.0,157064188.0
의약품,14202.77,-120.42,-0.84,14413.29,14419.52,14177.11,9754.0,405901.0,133451375.0
비금속광물,4076.38,-0.21,-0.01,4075.35,4079.72,4061.95,1532.0,10071.0,9055964.0
철강금속,5348.45,-9.09,-0.17,5384.85,5389.94,5330.55,13704.0,275493.0,64815789.0
기계,1407.27,25.21,1.82,1391.64,1416.55,1388.91,51012.0,1045509.0,55552818.0
전기전자,29644.05,8.58,0.03,29885.44,30002.84,29570.24,74146.0,3652493.0,930459120.0
의료정밀,1830.45,-3.22,-0.18,1847.42,1857.4,1822.78,9962.0,88033.0,4986853.0
운수장비,2452.32,-13.15,-0.53,2482.27,2483.52,2440.81,29857.0,895160.0,188060193.0
유통업,383.51,2.37,0.62,383.21,385.7,381.89,36950.0,274492.0,72663495.0
전기가스업,705.64,1.55,0.22,706.01,708.04,697.02,1280.0,29071.0,18604066.0
건설업,70.41,1.24,1.79,69.46,70.43,69.4,28362.0,235463.0,14314061.0
운수창고업,1544.52,24.46,1.61,1530.23,1546.42,1523.66,11585.0,112620.0,40950424.0
통신업,397.22,-0.09,-0.02,398.77,399.14,395.26,1997.0,29568.0,25895784.0
금융업,437.6,-4.66,-1.05,444.84,444.84,435.85,31913.0,773053.0,308772045.0
증권,1990.29,-33.85,-1.67,2037.6,2041.19,1987.54,6906.0,64776.0,22303722.0
보험,19744.8,-93.78,-0.47,20064.65,20082.25,19619.0,7508.0,99930.0,50202097.0
서비스업,1123.37,13.69,1.23,1118.98,1126.93,1117.74,31781.0,718533.0,166530039.0
제조업,7357.7,9.13,0.12,7403.75,7419.59,7341.33,228005.0,7525077.0,1592137275.0
코스피 대형주,2758.19,-2.25,-0.08,2781.94,2785.91,2756.3,83843.0,6614629.0,1820318594.0
코스피 중형주,2895.28,32.21,1.13,2875.86,2895.28,2863.99,92080.0,1971587.0,249901793.0
코스피 소형주,2344.59,15.26,0.66,2331.99,2344.59,2329.1,180000.0,664654.0,90399012.0
코스피 200 비중상한 30%,373.72,-0.1,-0.03,376.84,377.48,373.42,113243.0,6913550.0,1954317274.0
코스피 200 비중상한 25%,367.98,0.0,0.0,370.94,371.58,367.69,113243.0,6913550.0,1954317274.0
코스피 200 비중상한 20%,355.47,0.09,0.03,358.23,358.87,355.19,113243.0,6913550.0,1954317274.0
코스피 200 TOP 10,1356.42,-9.62,-0.7,1373.75,1375.3,1354.17,26606.0,3206330.0,996621294.0
