지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,291670.0,6525458.0,2172500147.0
코스피,2669.15,-11.2,-0.42,2665.58,2677.21,2660.51,291310.0,6570978.0,2171480823.0
코스피 200,359.57,-2.14,-0.59,359.31,360.94,358.29,90008.0,4780531.0,1889374808.0
코스피 100,2728.64,-14.31,-0.52,2723.69,2736.51,2716.18,67504.0,3957673.0,1729267813.0
코스피 50,2513.56,-14.04,-0.56,2507.34,2520.0,2500.53,44236.0,2980876.0,1491740367.0
코스피 200 중소형주,1214.94,-8.96,-0.73,1220.82,1225.88,1214.46,22484.0,821277.0,160160406.0
코스피 200 초대형제외 지수,260.99,-1.12,-0.43,260.25,261.75,259.79,83950.0,4339624.0,1456017733.0
코스피200제외 코스피지수,3304.75,-4.05,-0.12,3296.15,3315.95,3289.02,198066.0,1657141.0,209206485.0
코스피 200 커뮤니케이션서비스,1768.62,27.19,1.56,1740.94,1768.72,1738.23,2485.0,244311.0,111682722.0
코스피 200 건설,329.33,-1.12,-0.34,330.62,333.87,329.01,5215.0,170978.0,52387247.0
코스피 200 중공업,338.59,10.26,3.12,327.77,341.22,327.39,31696.0,569093.0,66449083.0
코스피 200 철강/소재,859.86,-14.01,-1.6,868.91,868.93,856.75,2059.0,221175.0,59811274.0
코스피 200 에너지/화학,1325.68,-14.03,-1.05,1332.58,1337.23,1324.72,4176.0,437457.0,125680515.0
코스피 200 정보기술,3358.68,-34.02,-1.0,3340.29,3371.84,3331.35,10803.0,1175354.0,660176604.0
코스피 200 금융,803.43,-3.73,-0.46,801.4,806.58,791.22,10387.0,328285.0,205913863.0
코스피 200 생활소비재,795.67,1.43,0.18,793.53,796.79,788.21,2349.0,150072.0,79323794.0
코스피 200 경기소비재,1765.27,-12.8,-0.72,1773.18,1792.76,1759.05,5016.0,452458.0,178921720.0
코스피 200 산업재,644.48,-2.78,-0.43,645.7,651.63,643.62,10144.0,605612.0,213045978.0
코스피 200 헬스케어,1913.23,11.27,0.59,1926.4,1949.08,1904.8,5678.0,425736.0,135982007.0
음식료품,3341.63,-9.6,-0.29,3351.96,3355.2,3335.6,3010.0,34048.0,23501687.0
섬유의복,255.68,2.68,1.06,253.04,257.38,253.02,1449.0,11835.0,6095968.0
종이목재,298.19,-0.6,-0.2,299.25,299.55,297.39,1168.0,3829.0,2652823.0
화학,4568.37,-19.16,-0.42,4567.23,4587.82,4556.89,15665.0,820369.0,154456091.0
의약품,14091.92,-9.66,-0.07,14196.66,14270.77,14036.94,20139.0,450876.0,132370127.0
비금속광물,4063.89,-34.34,-0.84,4102.63,4102.63,4063.89,1644.0,14906.0,9053492.0
철강금속,5481.81,-82.8,-1.49,5544.48,5556.0,5474.34,6700.0,222725.0,66430865.0
기계,1270.93,21.46,1.72,1236.7,1280.31,1235.89,57978.0,915826.0,50032279.0
전기전자,27133.06,-233.89,-0.85,27071.98,27225.79,27019.47,29650.0,1801952.0,849657880.0
의료정밀,1770.96,-80.49,-4.35,1828.59,1828.59,1770.48,3125.0,56164.0,4824767.0
운수장비,2572.16,-4.34,-0.17,2572.44,2596.64,2561.51,17945.0,724791.0,197067368.0
유통업,395.74,-1.35,-0.34,396.94,397.47,394.04,12251.0,133062.0,75082684.0
전기가스업,758.75,-6.35,-0.83,766.56,767.11,752.6,1274.0,32688.0,20036269.0
건설업,70.74,-0.66,-0.92,71.21,71.67,70.71,4362.0,38007.0,14046616.0
운수창고업,1583.04,-9.69,-0.61,1591.01,1593.09,1581.88,11231.0,96196.0,41938280.0
통신업,400.57,-2.0,-0.5,401.56,402.41,399.96,1021.0,23084.0,26093269.0
금융업,449.64,-2.2,-0.49,449.13,451.27,445.22,22478.0,541730.0,317232539.0
증권,2049.78,-63.37,-3.0,2101.51,2101.54,2049.5,7183.0,55669.0,23119036.0
보험,21084.25,-101.44,-0.48,21131.92,21285.12,20661.45,3070.0,72653.0,53672789.0
서비스업,1109.68,14.76,1.35,1095.0,1112.55,1094.79,75523.0,580614.0,164852186.0
제조업,6998.04,-41.31,-0.59,6992.75,7025.63,6977.23,160193.0,5068134.0,1511102438.0
코스피 대형주,2674.1,-11.37,-0.42,2668.56,2681.56,2662.41,71721.0,4243719.0,1737846796.0
코스피 중형주,2830.37,-21.04,-0.74,2844.38,2849.42,2829.45,44828.0,1212550.0,237459698.0
코스피 소형주,2305.32,-5.02,-0.22,2310.56,2310.56,2304.8,167223.0,601045.0,89568761.0
코스피 200 비중상한 30%,359.23,-2.08,-0.58,358.91,360.53,357.9,90007.0,4780431.0,1889423946.0
코스피 200 비중상한 25%,355.76,-1.98,-0.55,355.33,357.01,354.4,90007.0,4780431.0,1889423946.0
코스피 200 비중상한 20%,345.66,-1.83,-0.53,345.13,346.83,344.28,90007.0,4780431.0,1889423946.0
코스피 200 TOP 10,1364.93,-13.53,-0.98,1367.72,1372.89,1360.87,12120.0,1741957.0,940414688.0
