지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,474917.0,10666118.0,2243528808.0
코스피,2750.3,4.48,0.16,2757.27,2757.55,2739.12,474960.0,10681130.0,2242483220.0
코스피 200,375.1,1.88,0.5,375.04,375.56,372.77,129750.0,7621057.0,1957088034.0
코스피 100,2836.81,13.93,0.49,2836.66,2840.37,2817.63,77109.0,6014796.0,1791500190.0
코스피 50,2609.91,13.23,0.51,2610.27,2613.47,2590.87,54430.0,5058086.0,1547884177.0
코스피 200 중소형주,1248.35,-3.8,-0.3,1257.86,1260.13,1246.04,52641.0,1606261.0,165587843.0
코스피 200 초대형제외 지수,262.46,-0.43,-0.16,264.16,264.24,261.66,103804.0,5493432.0,1465177952.0
코스피200제외 코스피지수,3405.09,-21.89,-0.64,3428.82,3431.78,3394.49,337852.0,2844210.0,207276951.0
코스피 200 커뮤니케이션서비스,1791.68,-11.84,-0.66,1816.14,1816.75,1780.79,3439.0,300404.0,113373710.0
코스피 200 건설,318.53,-2.65,-0.83,321.51,321.96,318.04,2987.0,78980.0,50012261.0
코스피 200 중공업,367.26,-0.79,-0.21,370.01,372.51,366.0,24689.0,889729.0,72268468.0
코스피 200 철강/소재,831.07,-6.19,-0.74,840.4,840.56,828.03,1827.0,217782.0,58122207.0
코스피 200 에너지/화학,1329.96,-3.49,-0.26,1332.82,1337.3,1325.79,7731.0,647453.0,126067851.0
코스피 200 정보기술,3591.13,27.94,0.78,3575.74,3597.96,3542.21,33800.0,3150368.0,743412512.0
코스피 200 금융,786.75,-10.46,-1.31,802.02,802.56,783.03,15614.0,404814.0,200581297.0
코스피 200 생활소비재,805.39,0.04,0.0,810.23,811.43,800.8,3420.0,227101.0,79866696.0
코스피 200 경기소비재,1675.95,-22.08,-1.3,1711.22,1711.22,1671.04,7826.0,484319.0,167688299.0
코스피 200 산업재,636.53,-3.14,-0.49,641.95,643.29,634.82,23238.0,733450.0,207620122.0
코스피 200 헬스케어,1929.43,-8.0,-0.41,1943.86,1949.2,1923.27,5178.0,486658.0,138074611.0
음식료품,3398.68,-12.21,-0.36,3419.22,3419.22,3388.62,5572.0,50328.0,23902016.0
섬유의복,261.31,-1.66,-0.63,264.39,264.39,259.76,2002.0,16612.0,6238273.0
종이목재,299.62,-0.04,-0.01,299.75,301.33,298.62,10161.0,23357.0,2664862.0
화학,4593.34,-30.7,-0.66,4631.52,4633.01,4584.37,16138.0,924820.0,155266639.0
의약품,14347.0,126.16,0.89,14306.28,14520.35,14189.95,11610.0,464162.0,134800701.0
비금속광물,4081.22,-24.27,-0.59,4116.54,4119.82,4075.82,2095.0,14609.0,9071341.0
철강금속,5360.97,-4.36,-0.08,5376.44,5392.84,5330.58,15136.0,257961.0,64967382.0
기계,1384.99,-7.75,-0.56,1398.63,1401.78,1377.2,37795.0,918474.0,54672980.0
전기전자,29646.24,365.97,1.25,29386.44,29696.75,29228.16,109523.0,4278570.0,930715793.0
의료정밀,1836.27,43.3,2.41,1806.05,1857.08,1806.05,48677.0,348522.0,5002705.0
운수장비,2469.14,-25.77,-1.03,2515.33,2515.33,2463.86,32351.0,1180472.0,189598926.0
유통업,381.9,-2.25,-0.59,385.12,385.87,381.3,17078.0,175667.0,72360982.0
전기가스업,708.01,-0.29,-0.04,715.33,715.5,701.98,1420.0,31790.0,18666414.0
건설업,69.26,-1.02,-1.45,70.48,70.55,69.2,41270.0,110206.0,14081382.0
운수창고업,1524.16,-16.81,-1.09,1550.26,1551.29,1521.1,14711.0,108092.0,40411501.0
통신업,398.17,-3.29,-0.82,403.31,403.32,397.56,1641.0,35342.0,25957252.0
금융업,443.42,-4.53,-1.01,449.53,449.89,441.98,56709.0,1093492.0,312913193.0
증권,2028.5,-18.95,-0.93,2050.48,2055.23,2020.99,6986.0,51133.0,22712876.0
보험,19902.87,-292.03,-1.45,20199.69,20214.53,19727.53,26007.0,172159.0,50621948.0
서비스업,1112.32,-4.48,-0.4,1122.82,1122.82,1105.51,44949.0,600726.0,164899916.0
제조업,7354.65,41.83,0.57,7342.99,7365.14,7296.71,293072.0,8494524.0,1592016675.0
코스피 대형주,2764.15,9.23,0.34,2767.47,2767.79,2747.34,94204.0,7175968.0,1824250421.0
코스피 중형주,2868.18,-25.2,-0.87,2899.52,2900.25,2864.18,139984.0,2116258.0,247533564.0
코스피 소형주,2329.21,-7.79,-0.33,2341.92,2343.98,2325.37,233102.0,1096339.0,89816557.0
코스피 200 비중상한 30%,374.3,1.8,0.48,374.31,374.75,372.02,129750.0,7621057.0,1957088034.0
코스피 200 비중상한 25%,368.49,1.39,0.38,368.89,369.09,366.5,129750.0,7621057.0,1957088034.0
코스피 200 비중상한 20%,355.9,0.95,0.27,356.67,356.85,354.24,129750.0,7621057.0,1957088034.0
코스피 200 TOP 10,1367.08,-1.05,-0.08,1374.95,1374.95,1357.02,32701.0,3662288.0,1000150923.0
