지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,671408.0,10157952.0,2164591493.0
코스피,2658.89,-26.95,-1.0,2673.57,2673.57,2645.14,670285.0,10168527.0,2163553207.0
코스피 200,357.69,-3.62,-1.0,359.03,359.07,355.51,138647.0,7076263.0,1887562902.0
코스피 100,2708.99,-29.43,-1.07,2720.28,2720.28,2692.84,96870.0,6105163.0,1724436256.0
코스피 50,2492.14,-29.1,-1.15,2502.83,2502.83,2475.07,63182.0,4977659.0,1484654633.0
코스피 200 중소형주,1225.95,-8.46,-0.69,1231.59,1235.8,1222.01,41778.0,971100.0,163126645.0
코스피 200 초대형제외 지수,258.74,-3.69,-1.41,260.83,260.94,257.96,124295.0,6041700.0,1452962732.0
코스피200제외 코스피지수,3341.31,-17.35,-0.52,3360.2,3361.23,3331.03,526659.0,2927038.0,203570186.0
코스피 200 커뮤니케이션서비스,1729.86,-20.39,-1.16,1742.03,1742.03,1724.76,4528.0,328141.0,108990888.0
코스피 200 건설,315.71,-3.52,-1.1,318.67,320.22,315.33,4851.0,146665.0,48599547.0
코스피 200 중공업,363.72,-5.16,-1.4,369.25,372.11,361.21,32342.0,686400.0,71830660.0
코스피 200 철강/소재,855.18,-7.78,-0.9,864.48,864.85,849.23,3137.0,389500.0,59461732.0
코스피 200 에너지/화학,1351.82,-5.9,-0.43,1359.44,1360.86,1346.08,5674.0,558745.0,127980226.0
코스피 200 정보기술,3344.11,-6.9,-0.21,3342.75,3346.41,3304.65,22142.0,2182097.0,665429279.0
코스피 200 금융,811.2,-13.97,-1.69,814.7,820.97,808.84,16728.0,548103.0,206679190.0
코스피 200 생활소비재,784.29,-16.83,-2.1,795.98,797.09,783.69,8712.0,329565.0,78012366.0
코스피 200 경기소비재,1703.16,-66.07,-3.73,1741.2,1746.08,1701.94,24678.0,910509.0,171309841.0
코스피 200 산업재,639.22,-2.75,-0.43,645.58,645.92,635.06,13267.0,728413.0,212063776.0
코스피 200 헬스케어,1905.5,0.46,0.02,1904.33,1911.88,1887.9,2588.0,268125.0,137205397.0
음식료품,3337.83,-24.98,-0.74,3354.71,3369.39,3332.49,2758.0,60641.0,23479474.0
섬유의복,256.12,0.84,0.33,254.61,257.86,253.67,2623.0,15525.0,6109283.0
종이목재,300.46,-1.42,-0.47,302.05,309.99,300.08,59202.0,108818.0,2672410.0
화학,4621.56,-36.34,-0.78,4665.59,4665.59,4603.74,66399.0,1388447.0,156169689.0
의약품,14235.64,-32.33,-0.23,14256.3,14276.94,14114.11,86340.0,309984.0,133727011.0
비금속광물,4089.43,4.4,0.11,4082.02,4099.4,4074.38,2191.0,15355.0,9109967.0
철강금속,5452.37,-59.23,-1.07,5517.05,5517.05,5387.04,23745.0,475410.0,66073959.0
기계,1285.4,-10.32,-0.8,1302.76,1313.78,1278.94,144571.0,1128565.0,50723181.0
전기전자,27174.32,-108.12,-0.4,27160.79,27224.43,26837.58,52765.0,2853430.0,851222388.0
의료정밀,1695.97,-36.6,-2.11,1730.7,1730.7,1690.46,5336.0,66899.0,4620454.0
운수장비,2520.72,-88.91,-3.41,2573.25,2580.28,2516.66,45151.0,1376727.0,193090230.0
유통업,378.5,-2.59,-0.68,380.96,381.09,377.67,33882.0,255354.0,71801999.0
전기가스업,717.78,-49.35,-6.43,759.37,759.37,710.51,6992.0,160006.0,18924158.0
건설업,70.56,-0.74,-1.04,71.13,71.59,70.42,16259.0,81482.0,14008784.0
운수창고업,1538.04,-21.85,-1.4,1554.64,1561.98,1535.72,12281.0,112303.0,40778641.0
통신업,398.65,-1.77,-0.44,397.98,400.16,396.37,2331.0,50663.0,25988763.0
금융업,450.61,-6.56,-1.43,453.03,455.26,450.13,49664.0,1134333.0,317859118.0
증권,2102.86,-21.71,-1.02,2107.58,2133.09,2102.7,8618.0,74799.0,23606403.0
보험,20376.47,-442.93,-2.13,20541.81,20888.06,20337.92,5890.0,126216.0,51833572.0
서비스업,1084.7,-9.81,-0.9,1092.67,1092.97,1081.68,53699.0,533750.0,161132141.0
제조업,7001.11,-60.78,-0.86,7033.12,7033.12,6944.38,493065.0,7823141.0,1511957140.0
코스피 대형주,2657.7,-29.34,-1.09,2672.93,2672.93,2642.39,102340.0,6579485.0,1752448956.0
코스피 중형주,2849.99,-17.56,-0.61,2861.45,2868.69,2842.67,76569.0,1429025.0,246407858.0
코스피 소형주,2320.72,-4.06,-0.17,2328.73,2328.73,2316.04,486001.0,1898238.0,89324965.0
코스피 200 비중상한 30%,357.28,-3.65,-1.01,358.66,358.7,355.15,138647.0,7076263.0,1887562902.0
코스피 200 비중상한 25%,353.64,-3.86,-1.08,355.26,355.31,351.72,138647.0,7076263.0,1887562902.0
코스피 200 비중상한 20%,343.41,-3.99,-1.15,345.23,345.28,341.72,138647.0,7076263.0,1887562902.0
코스피 200 TOP 10,1344.63,-24.2,-1.77,1359.98,1359.98,1332.94,24697.0,3136308.0,932538563.0
