지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,480547.0,10356353.0,2194448715.0
코스피,2694.72,12.91,0.48,2694.71,2701.45,2679.54,479331.0,10380744.0,2193433772.0
코스피 200,363.16,2.05,0.57,363.15,364.43,361.26,126458.0,7266777.0,1907784475.0
코스피 100,2754.93,14.8,0.54,2755.58,2764.4,2740.19,88734.0,6165029.0,1747195750.0
코스피 50,2543.14,15.87,0.63,2541.89,2550.4,2528.99,62603.0,5213800.0,1510980238.0
코스피 200 중소형주,1219.2,7.89,0.65,1218.46,1226.52,1214.18,37724.0,1101747.0,160588726.0
코스피 200 초대형제외 지수,262.56,1.06,0.41,263.0,263.88,261.06,112620.0,6244645.0,1466020567.0
코스피200제외 코스피지수,3341.87,29.51,0.89,3324.82,3341.87,3315.26,348271.0,2960141.0,211534396.0
코스피 200 커뮤니케이션서비스,1773.75,-6.23,-0.35,1783.3,1784.79,1763.2,4407.0,311182.0,111956338.0
코스피 200 건설,325.11,-1.21,-0.37,327.74,327.85,322.5,6247.0,155634.0,51771308.0
코스피 200 중공업,341.86,4.16,1.23,340.53,345.3,338.99,27517.0,622625.0,66933820.0
코스피 200 철강/소재,861.19,-11.58,-1.33,876.77,877.16,858.21,2512.0,265734.0,60807832.0
코스피 200 에너지/화학,1329.24,-4.86,-0.36,1341.11,1346.35,1324.61,5432.0,594012.0,126205565.0
코스피 200 정보기술,3411.34,5.58,0.16,3431.29,3437.71,3398.42,22321.0,2474690.0,669082535.0
코스피 200 금융,828.07,25.13,3.13,808.16,833.15,803.91,23230.0,791179.0,211300523.0
코스피 200 생활소비재,791.38,-0.08,-0.01,794.02,794.22,787.89,4001.0,199917.0,78786306.0
코스피 200 경기소비재,1753.55,13.19,0.76,1749.76,1760.21,1731.43,8212.0,657233.0,177897049.0
코스피 200 산업재,649.32,-1.44,-0.22,652.96,655.12,645.7,18616.0,889934.0,217817195.0
코스피 200 헬스케어,1901.53,-16.18,-0.84,1925.14,1934.76,1884.09,3964.0,304636.0,135226007.0
음식료품,3312.86,-26.76,-0.8,3343.61,3343.61,3305.37,4143.0,62645.0,23305286.0
섬유의복,253.59,-0.69,-0.27,255.07,255.26,252.71,1961.0,11535.0,6047965.0
종이목재,298.53,1.09,0.37,298.52,298.53,296.23,2501.0,6672.0,2655663.0
화학,4597.75,-16.05,-0.35,4630.67,4658.05,4589.94,20899.0,1241553.0,155447901.0
의약품,14016.48,-158.91,-1.12,14202.03,14258.74,13901.3,14321.0,327598.0,131671377.0
비금속광물,4080.61,8.22,0.2,4073.71,4083.97,4064.26,2274.0,16705.0,9090592.0
철강금속,5557.92,-33.91,-0.61,5579.54,5602.91,5532.49,9784.0,285658.0,67352824.0
기계,1281.5,23.64,1.88,1275.08,1288.86,1267.53,79456.0,972667.0,50456913.0
전기전자,27629.96,107.06,0.39,27676.24,27764.79,27502.17,137320.0,3728048.0,865716555.0
의료정밀,1767.55,4.39,0.25,1783.75,1787.98,1752.86,3924.0,63282.0,4815478.0
운수장비,2548.87,21.73,0.86,2543.47,2559.49,2514.49,18316.0,916163.0,195733104.0
유통업,400.01,3.4,0.86,397.99,400.63,393.36,18740.0,264820.0,75892424.0
전기가스업,760.91,6.81,0.9,754.39,765.34,744.66,2397.0,58672.0,20061230.0
건설업,70.07,-0.02,-0.03,70.39,70.45,69.84,34951.0,125296.0,13911050.0
운수창고업,1564.03,-12.99,-0.82,1582.17,1582.56,1557.91,14780.0,118881.0,41426673.0
통신업,400.77,1.84,0.46,400.99,401.94,398.56,2759.0,52268.0,26126955.0
금융업,456.64,9.67,2.16,449.44,458.49,447.4,60977.0,1449428.0,322139773.0
증권,2133.17,76.62,3.73,2065.89,2143.79,2058.52,12958.0,125023.0,24004256.0
보험,20796.74,333.79,1.63,20486.81,20928.74,20399.01,5173.0,122387.0,52930924.0
서비스업,1112.78,-2.99,-0.27,1119.57,1119.57,1105.82,39399.0,587455.0,165294038.0
제조업,7068.38,15.78,0.22,7087.79,7097.48,7030.39,297677.0,7655282.0,1527466155.0
코스피 대형주,2701.21,12.06,0.45,2702.7,2710.13,2686.08,92386.0,6464175.0,1756068657.0
코스피 중형주,2840.03,13.89,0.49,2839.04,2849.16,2826.08,182712.0,1984219.0,238227005.0
코스피 소형주,2312.37,8.61,0.37,2307.55,2312.37,2299.15,194278.0,1095382.0,89856736.0
코스피 200 비중상한 30%,362.73,2.02,0.56,362.74,364.01,360.83,126458.0,7266777.0,1907784475.0
코스피 200 비중상한 25%,359.0,1.9,0.53,359.12,360.36,357.09,126458.0,7266777.0,1907784475.0
코스피 200 비중상한 20%,348.59,1.76,0.51,348.8,349.99,346.71,126458.0,7266777.0,1907784475.0
코스피 200 TOP 10,1382.45,1.08,0.08,1384.57,1391.14,1373.57,24018.0,3379186.0,953307739.0
