지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,481390.0,11625639.0,2194659797.0
코스피,2688.6,-33.21,-1.22,2693.65,2696.99,2681.17,484074.0,11800037.0,2193729992.0
코스피 200,366.23,-5.39,-1.45,367.35,367.69,365.27,120567.0,7689382.0,1900538913.0
코스피 100,2749.9,-43.05,-1.54,2761.75,2762.8,2746.58,78571.0,5857303.0,1718539028.0
코스피 50,2530.36,-41.22,-1.6,2542.16,2544.6,2527.39,55358.0,4977178.0,1479946393.0
코스피 200 중소형주,1368.54,5.21,0.38,1348.61,1369.91,1344.29,41996.0,1832079.0,181999885.0
코스피 200 초대형제외 지수,262.79,-2.14,-0.81,262.76,263.8,261.76,94015.0,5663759.0,1446835439.0
코스피200제외 코스피지수,3475.28,-4.98,-0.14,3465.59,3480.68,3457.84,354137.0,3754263.0,220143922.0
코스피 200 커뮤니케이션서비스,1697.33,-8.84,-0.52,1696.95,1703.38,1689.72,3869.0,322518.0,106905976.0
코스피 200 건설,305.01,-4.2,-1.36,305.9,306.29,304.07,2688.0,82397.0,44791192.0
코스피 200 중공업,420.67,11.86,2.9,404.86,422.03,404.21,15115.0,698872.0,83031866.0
코스피 200 철강/소재,822.72,-0.25,-0.03,811.11,825.33,805.89,2076.0,227424.0,55479262.0
코스피 200 에너지/화학,1217.7,-17.88,-1.45,1224.95,1226.52,1216.06,8365.0,608519.0,114525211.0
코스피 200 정보기술,3516.78,-49.52,-1.39,3532.36,3547.45,3515.03,33979.0,3031372.0,709447314.0
코스피 200 금융,798.99,-6.08,-0.76,796.6,800.26,788.23,10011.0,341250.0,200267364.0
코스피 200 생활소비재,887.59,-1.82,-0.2,883.08,891.03,879.28,4512.0,369869.0,88136794.0
코스피 200 경기소비재,1700.71,-23.98,-1.39,1709.75,1725.13,1695.57,8976.0,618654.0,173274277.0
코스피 200 산업재,647.18,-1.96,-0.3,641.28,649.4,636.34,28824.0,1159770.0,198789697.0
코스피 200 헬스케어,1754.01,-29.2,-1.64,1776.11,1779.16,1750.41,2154.0,228737.0,125889961.0
음식료품,4146.08,87.95,2.17,4037.5,4166.42,4008.48,88493.0,591002.0,29085459.0
섬유의복,247.79,-1.85,-0.74,248.17,250.64,247.34,9140.0,20349.0,5909483.0
종이목재,291.36,-1.4,-0.48,293.27,293.27,290.93,1709.0,5049.0,2591388.0
화학,4558.73,-51.41,-1.12,4566.38,4587.12,4548.94,23061.0,1032193.0,153008830.0
의약품,13177.32,-241.43,-1.8,13366.45,13367.36,13156.75,8572.0,299500.0,123598523.0
비금속광물,4121.95,-23.59,-0.57,4142.56,4142.56,4116.75,2308.0,20077.0,8770086.0
철강금속,5174.14,-51.38,-0.98,5166.93,5180.09,5133.9,26226.0,322468.0,62445086.0
기계,1398.74,7.63,0.55,1386.38,1400.66,1374.89,34774.0,612421.0,55130178.0
전기전자,28363.62,-574.65,-1.99,28528.82,28592.8,28326.96,153220.0,5366364.0,888834089.0
의료정밀,1667.66,-32.31,-1.9,1696.28,1696.28,1656.06,2711.0,50265.0,4543347.0
운수장비,2638.22,-15.27,-0.58,2627.23,2661.2,2621.37,19247.0,791808.0,201889658.0
유통업,354.42,-4.51,-1.26,355.81,356.03,353.2,24553.0,277048.0,66039034.0
전기가스업,664.39,-9.04,-1.34,668.4,668.4,662.47,2086.0,40740.0,17516391.0
건설업,71.29,-0.52,-0.72,71.05,71.51,70.76,12193.0,237172.0,14554622.0
운수창고업,1551.35,-4.37,-0.28,1541.99,1559.6,1531.44,14552.0,96838.0,37077200.0
통신업,388.54,-0.29,-0.07,388.51,389.71,386.29,1543.0,33022.0,25304384.0
금융업,445.44,-2.28,-0.51,443.81,445.95,440.18,30067.0,1141321.0,318443892.0
증권,1982.53,-29.64,-1.47,2002.15,2002.15,1972.36,4122.0,38578.0,22148212.0
보험,20150.16,-301.04,-1.47,20241.21,20241.21,19881.81,3084.0,89900.0,51368234.0
서비스업,1056.68,-8.26,-0.78,1056.87,1061.87,1053.61,20452.0,638354.0,163626663.0
제조업,7182.23,-106.63,-1.46,7206.5,7219.69,7168.48,372571.0,9148296.0,1550137511.0
코스피 대형주,2664.51,-38.58,-1.43,2673.24,2674.94,2660.2,84443.0,6679814.0,1754347735.0
코스피 중형주,3036.05,-9.67,-0.32,3020.88,3039.33,3007.57,78443.0,2326647.0,262969160.0
코스피 소형주,2384.38,-1.05,-0.04,2379.59,2389.09,2371.87,303074.0,1918862.0,92600459.0
코스피 200 비중상한 30%,365.72,-5.31,-1.43,366.8,367.15,364.79,120567.0,7689382.0,1900538913.0
코스피 200 비중상한 25%,361.51,-4.86,-1.33,362.39,362.86,360.6,120567.0,7689382.0,1900538913.0
코스피 200 비중상한 20%,350.6,-4.33,-1.22,351.27,351.89,349.71,120567.0,7689382.0,1900538913.0
코스피 200 TOP 10,1332.98,-18.93,-1.4,1338.37,1346.05,1331.47,34240.0,3734685.0,955611367.0
