지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,387382.0,9494391.0,2219874302.0
코스피,2715.95,-29.1,-1.06,2743.29,2749.14,2710.25,386945.0,9517554.0,2218912397.0
코스피 200,369.73,-4.36,-1.17,373.7,374.46,368.76,123004.0,5850518.0,1926708552.0
코스피 100,2778.12,-34.58,-1.23,2809.21,2814.5,2770.84,84897.0,4720657.0,1748696307.0
코스피 50,2548.06,-34.09,-1.32,2578.68,2583.03,2541.42,51670.0,3894368.0,1505979670.0
코스피 200 중소형주,1338.21,-3.73,-0.28,1344.58,1347.74,1336.56,38107.0,1129861.0,178012244.0
코스피 200 초대형제외 지수,260.35,-2.7,-1.03,262.94,263.17,259.8,108124.0,4650635.0,1448528969.0
코스피200제외 코스피지수,3432.37,-14.89,-0.43,3451.09,3471.09,3430.89,259228.0,3554207.0,217087832.0
코스피 200 커뮤니케이션서비스,1727.03,-5.98,-0.35,1736.65,1740.96,1719.6,5663.0,533346.0,109737729.0
코스피 200 건설,319.51,-3.31,-1.03,322.98,324.44,319.03,2629.0,78857.0,48522758.0
코스피 200 중공업,411.2,3.87,0.95,408.42,415.5,408.42,23066.0,565635.0,81457901.0
코스피 200 철강/소재,847.13,-6.77,-0.79,855.43,856.71,844.81,1838.0,179346.0,57227509.0
코스피 200 에너지/화학,1252.81,-16.03,-1.26,1268.24,1268.44,1248.07,5523.0,343246.0,117833894.0
코스피 200 정보기술,3462.26,-38.52,-1.1,3496.33,3502.47,3448.11,19955.0,1826117.0,719579492.0
코스피 200 금융,796.45,-12.19,-1.51,806.08,809.32,793.23,12735.0,397443.0,200570004.0
코스피 200 생활소비재,872.69,8.23,0.95,865.78,876.53,864.0,6010.0,380843.0,86658790.0
코스피 200 경기소비재,1651.67,-34.31,-2.04,1686.33,1687.72,1645.39,13957.0,592530.0,165998237.0
코스피 200 산업재,654.63,-3.53,-0.54,658.05,660.39,652.83,30015.0,746550.0,207166099.0
코스피 200 헬스케어,1833.61,-24.56,-1.32,1859.94,1861.31,1831.39,1614.0,206606.0,131956140.0
음식료품,3726.48,1.54,0.04,3728.74,3734.88,3708.33,3572.0,94765.0,26176713.0
섬유의복,259.92,-2.28,-0.87,261.71,263.49,259.17,1774.0,12738.0,6196119.0
종이목재,294.94,0.07,0.02,295.09,297.18,294.61,5519.0,13731.0,2623158.0
화학,4571.92,-17.03,-0.37,4587.95,4597.14,4560.77,21004.0,945896.0,152840819.0
의약품,13725.93,-216.16,-1.55,13985.68,13986.66,13709.22,3671.0,205843.0,128968880.0
비금속광물,4124.64,8.38,0.2,4121.75,4144.43,4113.63,5082.0,80353.0,9160330.0
철강금속,5312.17,-33.55,-0.63,5347.8,5363.32,5300.65,48944.0,354136.0,64110641.0
기계,1379.5,1.75,0.13,1371.73,1392.7,1371.31,29709.0,421788.0,54306395.0
전기전자,28951.24,-375.08,-1.28,29277.89,29371.76,28852.52,105676.0,3181934.0,908939011.0
의료정밀,1744.16,-18.39,-1.04,1761.52,1764.58,1732.27,2990.0,51182.0,4751761.0
운수장비,2527.42,-50.44,-1.96,2576.8,2577.75,2516.05,23562.0,707230.0,193228986.0
유통업,368.44,-4.76,-1.28,373.17,374.8,368.23,11841.0,179283.0,69821156.0
전기가스업,711.46,12.98,1.86,703.65,729.27,702.39,4672.0,89295.0,18757519.0
건설업,71.46,-0.48,-0.67,71.96,72.36,71.34,17798.0,75217.0,14537318.0
운수창고업,1607.67,22.76,1.44,1589.34,1619.71,1588.39,31722.0,260861.0,38421791.0
통신업,388.17,1.79,0.46,387.83,389.84,385.73,1781.0,44873.0,25280475.0
금융업,443.46,-5.18,-1.15,447.91,449.03,442.0,24842.0,750841.0,317339260.0
증권,2006.01,-36.6,-1.79,2042.26,2042.26,2000.6,3279.0,28357.0,22390197.0
보험,19883.95,-122.42,-0.61,19948.36,20018.64,19744.85,3486.0,65999.0,50616408.0
서비스업,1080.99,-10.17,-0.93,1092.02,1099.69,1079.92,38579.0,1992320.0,167468035.0
제조업,7249.72,-85.98,-1.17,7329.21,7342.54,7230.13,253254.0,6095004.0,1566182059.0
코스피 대형주,2705.03,-33.15,-1.21,2735.16,2740.08,2698.03,88547.0,5139405.0,1782904506.0
코스피 중형주,2989.09,-8.03,-0.27,2998.8,3006.48,2985.13,87190.0,1655905.0,259392331.0
코스피 소형주,2366.35,-2.15,-0.09,2371.95,2376.74,2362.16,197549.0,1054177.0,91136973.0
코스피 200 비중상한 30%,369.0,-4.34,-1.16,372.96,373.7,368.07,123004.0,5850518.0,1926708552.0
코스피 200 비중상한 25%,363.64,-4.2,-1.14,367.5,368.15,362.75,123004.0,5850518.0,1926708552.0
코스피 200 비중상한 20%,351.59,-3.97,-1.12,355.27,355.83,350.76,123004.0,5850518.0,1926708552.0
코스피 200 TOP 10,1321.88,-21.73,-1.62,1339.67,1341.29,1316.3,20668.0,2347614.0,969211718.0
