지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,400893.0,11102509.0,2242181726.0
코스피,2749.23,-5.88,-0.21,2753.22,2756.86,2742.68,400430.0,11127048.0,2241140693.0
코스피 200,373.81,-0.27,-0.07,373.78,374.8,372.23,124012.0,7257124.0,1954946097.0
코스피 100,2827.41,-3.48,-0.12,2828.73,2835.22,2816.36,87699.0,6154809.0,1788521824.0
코스피 50,2601.1,-2.39,-0.09,2601.81,2608.27,2589.8,58751.0,5037541.0,1543790233.0
코스피 200 중소형주,1253.77,-4.53,-0.36,1257.12,1261.21,1251.19,36313.0,1102314.0,166424273.0
코스피 200 초대형제외 지수,263.34,-1.89,-0.71,265.07,265.28,262.88,101050.0,5413723.0,1471990689.0
코스피200제외 코스피지수,3426.64,14.66,0.43,3416.97,3447.58,3415.78,265002.0,3643768.0,208925078.0
코스피 200 커뮤니케이션서비스,1806.86,-16.91,-0.93,1820.75,1825.35,1805.32,4007.0,373761.0,114192675.0
코스피 200 건설,321.28,2.72,0.85,318.94,321.42,317.58,2996.0,106147.0,50408425.0
코스피 200 중공업,368.61,-1.92,-0.52,371.21,376.25,367.87,17926.0,466043.0,72500726.0
코스피 200 철강/소재,838.72,-17.6,-2.06,854.11,854.13,836.82,2934.0,304394.0,58307186.0
코스피 200 에너지/화학,1335.87,-7.06,-0.53,1351.3,1354.5,1332.21,8555.0,583392.0,126656575.0
코스피 200 정보기술,3569.63,-8.2,-0.23,3570.75,3591.34,3556.36,31873.0,2949977.0,732283260.0
코스피 200 금융,797.86,0.65,0.08,796.35,802.74,794.32,22636.0,610486.0,203461724.0
코스피 200 생활소비재,805.69,0.43,0.05,805.81,810.12,802.76,3357.0,232657.0,79920914.0
코스피 200 경기소비재,1700.39,-26.17,-1.52,1726.77,1726.77,1694.06,11954.0,591484.0,170296732.0
코스피 200 산업재,640.03,-12.83,-1.97,652.68,652.68,639.62,11044.0,698368.0,209595519.0
코스피 200 헬스케어,1939.91,1.1,0.06,1937.07,1954.01,1927.93,6730.0,340414.0,137322360.0
음식료품,3414.26,6.92,0.2,3406.71,3425.79,3392.45,3010.0,66059.0,24013049.0
섬유의복,263.85,0.13,0.05,263.98,267.1,263.03,1921.0,17441.0,6297476.0
종이목재,299.95,-3.75,-1.23,302.61,303.84,299.51,6192.0,13206.0,2667787.0
화학,4630.67,-38.52,-0.82,4692.7,4701.72,4618.65,24009.0,905457.0,156545199.0
의약품,14224.9,-46.83,-0.33,14228.75,14331.88,14149.63,16363.0,303633.0,133655473.0
비금속광물,4110.4,-4.04,-0.1,4114.55,4120.25,4104.17,1772.0,12439.0,9136164.0
철강금속,5372.4,-75.7,-1.39,5446.15,5448.27,5367.54,12153.0,339533.0,65106087.0
기계,1393.01,44.71,3.32,1357.37,1415.93,1354.17,61659.0,1717261.0,54989633.0
전기전자,29330.11,64.99,0.22,29240.93,29419.62,29080.37,96522.0,4434442.0,920622705.0
의료정밀,1797.18,11.64,0.65,1781.94,1822.53,1776.11,16498.0,126434.0,4896212.0
운수장비,2498.72,-49.57,-1.95,2547.04,2547.04,2490.69,22233.0,857704.0,191935105.0
유통업,384.35,1.1,0.29,383.38,384.63,381.6,21940.0,232537.0,72828578.0
전기가스업,708.3,-1.92,-0.27,713.85,716.46,705.39,1321.0,31019.0,18674118.0
건설업,70.23,0.08,0.11,70.36,70.48,70.04,9835.0,44813.0,13944355.0
운수창고업,1541.59,0.0,0.0,1537.51,1543.29,1526.72,19758.0,135240.0,40873275.0
통신업,401.78,-5.09,-1.25,405.0,406.67,401.78,1878.0,46252.0,26192656.0
금융업,448.26,-0.96,-0.21,447.54,450.43,447.13,42358.0,1107738.0,316307818.0
증권,2044.26,-32.21,-1.55,2057.58,2073.87,2040.87,7887.0,69854.0,22900898.0
보험,20201.25,-76.49,-0.38,19985.28,20345.18,19985.28,7785.0,137295.0,51390699.0
서비스업,1118.56,-8.27,-0.73,1126.06,1127.5,1117.51,35693.0,674654.0,166163650.0
제조업,7323.16,-12.56,-0.17,7335.03,7345.9,7297.86,264285.0,8809631.0,1584965081.0
코스피 대형주,2758.64,-6.03,-0.22,2762.35,2766.65,2749.89,99146.0,7619719.0,1820617450.0
코스피 중형주,2896.17,-0.78,-0.03,2897.91,2906.95,2886.44,104230.0,2394849.0,250309837.0
코스피 소형주,2336.55,-12.13,-0.52,2347.98,2353.1,2335.08,185373.0,817950.0,90096052.0
코스피 200 비중상한 30%,373.08,-0.34,-0.09,373.13,374.08,371.59,124012.0,7257124.0,1954946097.0
코스피 200 비중상한 25%,367.69,-0.72,-0.2,368.13,368.84,366.54,124012.0,7257124.0,1954946097.0
코스피 200 비중상한 20%,355.52,-1.07,-0.3,356.33,356.92,354.72,124012.0,7257124.0,1954946097.0
코스피 200 TOP 10,1371.04,-13.04,-0.94,1385.26,1386.08,1367.36,29998.0,3451495.0,992200976.0
