지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,556876.0,10749582.0,2227453247.0
코스피,2728.43,16.29,0.6,2737.95,2743.58,2723.21,557195.0,11003728.0,2226479676.0
코스피 200,371.13,2.3,0.62,372.73,373.8,370.41,134403.0,6400656.0,1933210789.0
코스피 100,2790.68,19.33,0.7,2801.26,2810.12,2786.17,88547.0,5083279.0,1754249162.0
코스피 50,2559.84,18.09,0.71,2568.97,2576.8,2556.17,57889.0,4060070.0,1509498432.0
코스피 200 중소형주,1344.22,6.94,0.52,1348.62,1350.85,1338.92,45856.0,1317376.0,178961627.0
코스피 200 초대형제외 지수,263.1,3.08,1.18,262.83,263.8,262.38,118354.0,5122927.0,1460404011.0
코스피200제외 코스피지수,3456.58,24.21,0.71,3442.93,3456.58,3432.08,415553.0,4223263.0,218623184.0
코스피 200 커뮤니케이션서비스,1740.17,12.02,0.7,1748.83,1755.72,1734.5,6330.0,587497.0,110458096.0
코스피 200 건설,319.15,0.35,0.11,321.84,322.96,318.48,3158.0,68079.0,47253082.0
코스피 200 중공업,407.97,-3.01,-0.73,414.41,415.95,406.08,17990.0,497829.0,80856190.0
코스피 200 철강/소재,849.47,3.85,0.46,856.25,856.99,844.08,1205.0,134136.0,57367053.0
코스피 200 에너지/화학,1249.13,-0.86,-0.07,1261.49,1263.09,1244.44,4785.0,316337.0,117574664.0
코스피 200 정보기술,3486.93,34.48,1.0,3485.64,3499.72,3468.83,22842.0,2086459.0,717382423.0
코스피 200 금융,817.16,21.59,2.71,807.76,826.51,803.7,16889.0,538540.0,205531894.0
코스피 200 생활소비재,877.71,4.42,0.51,879.76,894.65,875.67,12403.0,597914.0,87184384.0
코스피 200 경기소비재,1667.84,17.87,1.08,1667.29,1674.21,1653.47,10412.0,468940.0,167889655.0
코스피 200 산업재,663.6,6.42,0.98,664.38,668.3,660.86,36249.0,847269.0,208863504.0
코스피 200 헬스케어,1839.71,8.66,0.47,1852.71,1869.41,1837.56,2139.0,257658.0,132849844.0
음식료품,3772.99,50.19,1.35,3741.9,3778.98,3727.06,7440.0,122238.0,26499599.0
섬유의복,258.89,0.03,0.01,260.14,263.74,258.58,1301.0,10376.0,6172307.0
종이목재,295.3,0.08,0.03,295.31,296.03,294.58,2334.0,6679.0,2626390.0
화학,4576.0,9.95,0.22,4603.61,4610.94,4567.82,24053.0,959755.0,152988804.0
의약품,13847.1,131.72,0.96,13882.75,14009.5,13799.17,4103.0,217256.0,129890597.0
비금속광물,4132.16,8.58,0.21,4128.07,4137.15,4119.26,5380.0,52271.0,8791864.0
철강금속,5322.98,27.18,0.51,5350.5,5357.68,5294.08,16814.0,192023.0,64241138.0
기계,1371.39,-7.81,-0.57,1385.09,1393.92,1365.43,38680.0,481944.0,53989608.0
전기전자,28883.71,-4.01,-0.01,29128.02,29275.96,28775.55,216330.0,4214738.0,906394624.0
의료정밀,1677.79,-63.23,-3.63,1742.67,1750.54,1672.07,3644.0,90772.0,4570942.0
운수장비,2554.77,28.39,1.12,2558.67,2562.17,2532.04,18278.0,597753.0,195209976.0
유통업,372.45,3.64,0.99,372.04,374.94,371.49,16172.0,207662.0,69391968.0
전기가스업,681.37,-26.27,-3.71,718.98,738.91,676.03,9394.0,196559.0,17964054.0
건설업,71.14,-0.13,-0.18,71.77,72.01,70.93,7160.0,54582.0,14471129.0
운수창고업,1645.51,39.07,2.43,1627.52,1657.2,1623.28,98672.0,435711.0,39324623.0
통신업,390.91,2.47,0.64,393.71,393.98,389.87,5885.0,65688.0,25458620.0
금융업,452.36,9.4,2.12,448.37,454.98,447.2,33048.0,930413.0,323658070.0
증권,2068.73,66.04,3.3,2019.94,2081.01,2019.94,6098.0,57604.0,23071102.0
보험,20411.36,563.82,2.84,20131.96,20646.35,20097.54,5587.0,133249.0,51960814.0
서비스업,1090.72,10.24,0.95,1089.51,1092.36,1081.34,40393.0,1855955.0,168976847.0
제조업,7255.08,17.43,0.24,7302.11,7321.97,7231.3,342674.0,6993235.0,1566148062.0
코스피 대형주,2715.32,14.75,0.55,2728.67,2735.94,2711.73,91489.0,5451461.0,1787928123.0
코스피 중형주,3005.26,17.0,0.57,3007.31,3012.51,2992.98,150010.0,1907477.0,260740487.0
코스피 소형주,2373.69,7.33,0.31,2371.73,2379.08,2369.85,299996.0,1929504.0,91422971.0
코스피 200 비중상한 30%,370.48,2.36,0.64,372.02,373.04,369.8,134403.0,6400656.0,1933210789.0
코스피 200 비중상한 25%,365.5,2.65,0.73,366.7,367.59,364.88,134403.0,6400656.0,1933210789.0
코스피 200 비중상한 20%,353.76,2.88,0.82,354.62,355.47,353.21,134403.0,6400656.0,1933210789.0
코스피 200 TOP 10,1330.23,10.78,0.82,1332.16,1334.3,1323.61,21496.0,2337813.0,968382755.0
