지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,521551.0,11028683.0,2271323508.0
코스피,2781.92,-22.39,-0.8,2798.65,2805.42,2776.62,521109.0,11027404.0,2270367494.0
코스피 200,381.39,-2.95,-0.77,383.33,384.66,380.74,125800.0,8274039.0,1997381559.0
코스피 100,2872.99,-22.31,-0.77,2888.01,2896.77,2867.83,88906.0,6639276.0,1811503342.0
코스피 50,2653.71,-18.18,-0.68,2666.25,2673.83,2649.31,53599.0,5016193.0,1557293486.0
코스피 200 중소형주,1353.21,-15.01,-1.1,1357.1,1361.92,1343.17,36894.0,1634763.0,185878217.0
코스피 200 초대형제외 지수,269.81,-3.0,-1.1,271.06,271.94,269.3,112480.0,7182273.0,1509053347.0
코스피200제외 코스피지수,3548.17,-37.98,-1.06,3588.59,3589.16,3539.31,349699.0,2587750.0,198023178.0
코스피 200 커뮤니케이션서비스,1610.81,-22.86,-1.4,1619.63,1626.04,1608.25,3761.0,292691.0,100186900.0
코스피 200 건설,299.04,-5.49,-1.8,301.84,302.93,298.52,2557.0,76217.0,40865408.0
코스피 200 중공업,442.48,-3.1,-0.7,443.42,445.45,436.42,16027.0,656480.0,93048732.0
코스피 200 철강/소재,811.53,-12.34,-1.5,820.75,824.29,810.36,1861.0,196951.0,54613064.0
코스피 200 에너지/화학,1205.68,-20.6,-1.68,1216.33,1224.34,1199.7,5638.0,426771.0,111028080.0
코스피 200 정보기술,3691.29,-63.77,-1.7,3739.38,3766.27,3687.46,21731.0,2198484.0,786527042.0
코스피 200 금융,831.97,21.18,2.61,804.56,837.11,804.03,17933.0,721928.0,207467340.0
코스피 200 생활소비재,872.0,-15.89,-1.79,881.0,885.6,866.77,13447.0,833999.0,87052049.0
코스피 200 경기소비재,1737.3,-61.6,-3.42,1780.08,1780.48,1732.32,9357.0,808976.0,176397815.0
코스피 200 산업재,659.69,-15.11,-2.24,675.0,677.5,658.75,30068.0,1530446.0,210652090.0
코스피 200 헬스케어,1777.57,-6.79,-0.38,1769.01,1786.3,1748.04,3421.0,531096.0,129543039.0
음식료품,4398.37,-37.94,-0.86,4401.73,4440.28,4349.09,10019.0,240970.0,30823430.0
섬유의복,235.67,-1.98,-0.83,236.62,237.19,234.55,4103.0,12493.0,5624726.0
종이목재,283.66,-3.36,-1.17,287.12,287.38,282.7,2119.0,6657.0,2523028.0
화학,4408.69,-83.55,-1.86,4462.36,4484.35,4392.34,21251.0,839576.0,147840436.0
의약품,13646.53,329.76,2.48,13237.13,13705.4,13187.03,13487.0,630768.0,128014571.0
비금속광물,4072.62,-4.05,-0.1,4076.03,4095.41,4067.34,18731.0,250286.0,8664237.0
철강금속,4976.35,-56.12,-1.12,5014.59,5044.09,4970.14,31457.0,253684.0,59983914.0
기계,1468.49,-40.48,-2.68,1503.4,1505.48,1458.76,19085.0,548356.0,57891560.0
전기전자,30286.01,-187.37,-0.61,30614.4,30710.81,30224.71,112681.0,3720031.0,946932050.0
의료정밀,1728.21,-28.57,-1.63,1745.65,1753.94,1707.42,4214.0,65761.0,4708303.0
운수장비,2756.5,-98.17,-3.44,2836.4,2836.4,2739.32,36986.0,1389466.0,210874010.0
유통업,364.91,-6.7,-1.8,370.15,371.69,364.08,70853.0,413278.0,68204046.0
전기가스업,710.81,-30.42,-4.1,744.37,745.56,709.96,10922.0,460443.0,18740343.0
건설업,68.96,-1.62,-2.3,70.2,70.2,68.9,6809.0,62482.0,14086674.0
운수창고업,1750.48,-12.35,-0.7,1750.57,1767.98,1734.57,41707.0,340616.0,42229856.0
통신업,385.29,-3.37,-0.87,385.5,386.27,384.23,2131.0,34023.0,24905352.0
금융업,458.3,4.02,0.88,450.3,460.39,450.3,56513.0,1215794.0,327451269.0
증권,2025.02,10.0,0.5,2000.15,2031.49,2000.15,4970.0,59013.0,22581188.0
보험,21697.96,290.0,1.35,21052.2,22027.83,20974.45,24602.0,253497.0,55268713.0
서비스업,995.06,-17.15,-1.69,1004.75,1008.59,993.94,14415.0,492961.0,155526565.0
제조업,7505.74,-72.31,-0.95,7579.37,7594.68,7481.96,276274.0,7985505.0,1618356450.0
코스피 대형주,2780.81,-19.18,-0.69,2795.33,2802.55,2775.52,86002.0,6624976.0,1830337136.0
코스피 중형주,3027.79,-42.89,-1.4,3054.36,3060.42,3014.86,107929.0,2514741.0,262430737.0
코스피 소형주,2365.54,-21.13,-0.89,2386.58,2387.54,2360.23,277881.0,1552418.0,91928802.0
코스피 200 비중상한 30%,380.76,-2.95,-0.77,382.69,383.85,380.11,125800.0,8274039.0,1997381559.0
코스피 200 비중상한 25%,375.5,-3.13,-0.83,377.38,378.52,374.85,125800.0,8274039.0,1997381559.0
코스피 200 비중상한 20%,363.31,-3.23,-0.88,365.1,366.23,362.68,125800.0,8274039.0,1997381559.0
코스피 200 TOP 10,1352.14,-10.99,-0.81,1360.98,1365.53,1345.44,20750.0,2912792.0,1023624473.0
