지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,616442.0,12217016.0,2214492646.0
코스피,2713.22,-39.94,-1.45,2730.68,2732.29,2708.53,613924.0,12266211.0,2213481740.0
코스피 200,370.75,-5.59,-1.49,373.09,373.63,369.92,143014.0,8999178.0,1928815480.0
코스피 100,2797.16,-45.23,-1.59,2816.84,2821.13,2791.18,100686.0,7819702.0,1763407970.0
코스피 50,2564.18,-44.64,-1.71,2584.13,2588.57,2558.44,66631.0,6362071.0,1521852266.0
코스피 200 중소형주,1241.48,-8.98,-0.72,1245.55,1246.31,1235.75,42328.0,1179476.0,165407510.0
코스피 200 초대형제외 지수,255.09,-4.84,-1.86,257.78,258.16,254.71,114379.0,6584994.0,1424965833.0
코스피200제외 코스피지수,3401.47,-18.83,-0.55,3400.01,3411.73,3371.95,394552.0,2990809.0,207371726.0
코스피 200 커뮤니케이션서비스,1759.53,-6.81,-0.39,1761.08,1776.7,1757.72,4993.0,411200.0,112070932.0
코스피 200 건설,315.02,-0.21,-0.07,317.7,320.89,314.04,12574.0,284058.0,48557426.0
코스피 200 중공업,367.35,-2.47,-0.67,367.68,370.45,364.28,17695.0,452067.0,72531666.0
코스피 200 철강/소재,808.48,-14.16,-1.72,815.3,816.11,805.21,2233.0,345745.0,55803643.0
코스피 200 에너지/화학,1304.57,-21.41,-1.61,1315.15,1319.69,1300.34,9163.0,725535.0,123021469.0
코스피 200 정보기술,3503.78,-102.34,-2.84,3551.03,3551.48,3494.9,39752.0,3846079.0,747783089.0
코스피 200 금융,762.56,-11.23,-1.45,771.3,773.42,760.46,15487.0,512169.0,195057662.0
코스피 200 생활소비재,817.04,1.24,0.15,813.26,818.27,806.55,4875.0,343847.0,81129684.0
코스피 200 경기소비재,1592.15,-32.62,-2.01,1619.08,1630.14,1585.71,11377.0,616649.0,158847060.0
코스피 200 산업재,625.84,-16.84,-2.62,636.96,637.85,621.61,20982.0,1164611.0,201051880.0
코스피 200 헬스케어,1848.47,-34.76,-1.85,1870.51,1874.86,1844.32,3883.0,297218.0,132960969.0
음식료품,3525.63,64.63,1.87,3469.53,3534.4,3451.37,4284.0,108279.0,24781070.0
섬유의복,267.63,-1.3,-0.48,268.58,269.69,264.6,2294.0,22044.0,6389817.0
종이목재,296.15,-2.13,-0.71,297.83,298.66,294.59,4227.0,10246.0,2633928.0
화학,4543.36,-78.86,-1.71,4583.81,4585.88,4527.07,19873.0,1066385.0,153483460.0
의약품,13807.41,-166.34,-1.19,13872.35,13931.94,13779.81,7355.0,275768.0,129728749.0
비금속광물,4056.03,-16.17,-0.4,4069.85,4071.33,4042.83,5882.0,72114.0,9010565.0
철강금속,5161.63,-99.83,-1.9,5189.37,5199.57,5152.47,12106.0,381044.0,62552105.0
기계,1378.69,-21.01,-1.5,1383.47,1392.99,1363.62,35492.0,687305.0,54424523.0
전기전자,29605.65,-558.53,-1.85,29802.24,29828.49,29435.38,68532.0,4710651.0,930768956.0
의료정밀,1787.44,-7.9,-0.44,1789.19,1789.68,1767.55,8657.0,103952.0,4869678.0
운수장비,2379.94,-50.01,-2.06,2419.32,2435.55,2371.33,28351.0,1284364.0,182321786.0
유통업,372.6,-7.39,-1.94,377.85,378.59,371.54,36069.0,269981.0,70594957.0
전기가스업,688.59,-3.76,-0.54,692.29,692.4,679.25,4873.0,68915.0,18154591.0
건설업,70.54,0.25,0.36,70.54,71.57,69.97,59273.0,720088.0,14339446.0
운수창고업,1541.22,12.62,0.83,1523.05,1552.54,1522.4,171107.0,585577.0,40862623.0
통신업,385.3,-5.81,-1.49,390.61,390.61,384.98,3084.0,56981.0,25118091.0
금융업,431.66,-4.76,-1.09,434.31,434.82,430.8,34839.0,915085.0,304615966.0
증권,1982.96,-10.32,-0.52,1985.4,1990.54,1975.21,4600.0,39233.0,22225220.0
보험,19750.03,-162.57,-0.82,19723.56,19957.57,19622.67,5516.0,124007.0,50225360.0
서비스업,1099.59,-3.71,-0.34,1099.98,1106.56,1098.06,32274.0,812645.0,163004355.0
제조업,7274.01,-126.18,-1.71,7326.65,7331.02,7254.91,198626.0,8744460.0,1575668577.0
코스피 대형주,2722.29,-44.65,-1.61,2741.96,2744.62,2716.88,109008.0,8513711.0,1796624688.0
코스피 중형주,2855.21,-16.1,-0.56,2859.62,2862.38,2837.95,242655.0,2137410.0,247106019.0
코스피 소형주,2312.41,-13.1,-0.56,2320.84,2320.84,2304.99,160579.0,734847.0,89157633.0
코스피 200 비중상한 30%,369.78,-5.62,-1.5,372.16,372.69,368.96,143014.0,8999178.0,1928815480.0
코스피 200 비중상한 25%,363.06,-5.74,-1.56,365.64,366.13,362.33,143014.0,8999178.0,1928815480.0
코스피 200 비중상한 20%,349.72,-5.74,-1.61,352.44,352.89,349.05,143014.0,8999178.0,1928815480.0
코스피 200 TOP 10,1312.12,-31.43,-2.34,1328.52,1331.32,1309.47,39067.0,4722986.0,991465553.0
