지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,540311.0,11129454.0,2209587245.0
코스피,2708.83,7.66,0.28,2716.72,2718.88,2702.17,540080.0,11166082.0,2208593205.0
코스피 200,368.27,0.81,0.22,369.61,369.9,367.15,120058.0,7642498.0,1913965367.0
코스피 100,2769.12,8.03,0.29,2777.37,2779.5,2758.42,88623.0,6371408.0,1732286743.0
코스피 50,2551.07,10.96,0.43,2556.12,2559.12,2536.9,61032.0,5151342.0,1492572506.0
코스피 200 중소형주,1363.92,-4.21,-0.31,1377.82,1378.31,1362.3,31435.0,1271090.0,181678624.0
코스피 200 초대형제외 지수,265.61,1.12,0.42,266.4,266.69,264.37,104428.0,6462636.0,1463246785.0
코스피200제외 코스피지수,3511.69,-2.7,-0.08,3524.99,3530.67,3509.37,394061.0,3341273.0,222470604.0
코스피 200 커뮤니케이션서비스,1648.34,-1.71,-0.1,1656.32,1660.27,1645.78,3031.0,251618.0,103124057.0
코스피 200 건설,297.2,-2.0,-0.67,300.78,301.4,296.56,3008.0,84828.0,43379697.0
코스피 200 중공업,414.02,-4.21,-1.01,423.57,424.22,412.86,17048.0,478052.0,81508957.0
코스피 200 철강/소재,840.25,10.52,1.27,831.33,843.16,828.99,2670.0,243503.0,55326818.0
코스피 200 에너지/화학,1268.09,19.8,1.59,1254.67,1277.73,1246.36,12223.0,849174.0,118381093.0
코스피 200 정보기술,3580.52,5.3,0.15,3587.65,3598.66,3545.04,28790.0,2519288.0,716933907.0
코스피 200 금융,790.26,-1.4,-0.18,797.54,802.41,789.23,9319.0,290351.0,197749489.0
코스피 200 생활소비재,900.28,2.36,0.26,906.06,916.1,897.18,7252.0,546931.0,90208334.0
코스피 200 경기소비재,1713.38,3.71,0.22,1726.13,1728.14,1706.53,8195.0,576564.0,174629353.0
코스피 200 산업재,660.43,3.06,0.47,662.4,666.29,657.35,25841.0,1492896.0,205557179.0
코스피 200 헬스케어,1764.84,-6.96,-0.39,1781.1,1788.69,1762.42,2680.0,309294.0,127166484.0
음식료품,4487.66,-37.46,-0.83,4572.15,4616.93,4479.49,130157.0,699357.0,31449702.0
섬유의복,252.03,1.67,0.67,250.9,255.99,250.48,2364.0,13810.0,6010362.0
종이목재,288.49,-1.79,-0.62,290.73,291.07,288.27,3512.0,10787.0,2565977.0
화학,4636.56,79.67,1.75,4577.94,4672.55,4576.76,35586.0,1384427.0,155466373.0
의약품,13328.17,85.0,0.64,13339.13,13469.93,13260.46,7804.0,318758.0,125022607.0
비금속광물,4129.55,-17.13,-0.41,4150.72,4160.37,4126.18,4809.0,74744.0,8786299.0
철강금속,5123.06,30.67,0.6,5099.69,5152.2,5091.48,45923.0,376781.0,61727251.0
기계,1442.93,-6.3,-0.43,1462.76,1466.49,1439.16,46560.0,576771.0,56876998.0
전기전자,28732.28,96.03,0.34,28770.29,28895.73,28541.4,63128.0,3929221.0,899067112.0
의료정밀,1687.49,-21.47,-1.26,1713.17,1715.17,1679.14,4286.0,69845.0,4597354.0
운수장비,2650.69,7.52,0.28,2679.08,2680.04,2637.23,16797.0,733250.0,202395853.0
유통업,355.96,6.49,1.86,351.13,356.81,349.27,30771.0,449785.0,66560210.0
전기가스업,716.87,9.31,1.32,719.3,726.43,708.16,4073.0,104443.0,18899993.0
건설업,69.76,-0.55,-0.78,70.62,70.83,69.64,6334.0,72442.0,14245812.0
운수창고업,1584.55,-27.8,-1.72,1616.17,1629.17,1581.0,17688.0,151798.0,38231166.0
통신업,387.42,-0.89,-0.23,388.83,390.3,386.98,1456.0,43114.0,25043222.0
금융업,445.05,-1.57,-0.35,449.3,451.13,444.76,27174.0,817733.0,318091644.0
증권,1949.93,-16.98,-0.86,1975.63,1975.72,1946.25,3807.0,43323.0,21787141.0
보험,20163.22,-15.89,-0.08,20280.53,20531.18,20090.58,4400.0,79112.0,51381457.0
서비스업,1022.47,0.07,0.01,1025.01,1028.09,1019.79,66841.0,1262947.0,158332432.0
제조업,7276.28,31.58,0.44,7289.08,7300.86,7244.24,363248.0,8214032.0,1568353093.0
코스피 대형주,2687.65,9.63,0.36,2693.87,2696.93,2677.51,92377.0,6872622.0,1769394064.0
코스피 중형주,3051.12,-3.02,-0.1,3072.63,3076.58,3046.88,65597.0,1907668.0,264239185.0
코스피 소형주,2385.24,-7.22,-0.3,2397.77,2404.77,2382.52,353801.0,1928565.0,92659750.0
코스피 200 비중상한 30%,367.8,0.82,0.22,369.14,369.41,366.7,120058.0,7642498.0,1913965367.0
코스피 200 비중상한 25%,363.88,0.93,0.26,365.16,365.44,362.71,120058.0,7642498.0,1913965367.0
코스피 200 비중상한 20%,353.19,1.02,0.29,354.39,354.68,351.95,120058.0,7642498.0,1913965367.0
코스피 200 TOP 10,1335.98,10.57,0.8,1335.19,1343.1,1323.42,22138.0,2698664.0,960332031.0
