지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,410633.0,10788551.0,2227096788.0
코스피,2728.33,4.87,0.18,2719.03,2734.27,2704.0,410036.0,10813039.0,2226169553.0
코스피 200,372.72,1.31,0.35,370.85,373.72,368.9,128141.0,7637301.0,1931560351.0
코스피 100,2801.34,9.71,0.35,2788.3,2809.44,2773.63,76708.0,5712803.0,1749939939.0
코스피 50,2579.29,8.16,0.32,2568.45,2587.62,2553.74,46795.0,4620086.0,1509691842.0
코스피 200 중소형주,1365.2,-1.19,-0.09,1359.45,1367.27,1350.94,51433.0,1924498.0,181620412.0
코스피 200 초대형제외 지수,265.46,-0.13,-0.05,265.16,266.15,263.75,111111.0,6307875.0,1461738464.0
코스피200제외 코스피지수,3480.18,-14.63,-0.42,3498.96,3499.97,3461.69,269410.0,2914500.0,219836100.0
코스피 200 커뮤니케이션서비스,1710.21,1.08,0.06,1699.64,1714.75,1691.09,3077.0,294878.0,107816004.0
코스피 200 건설,309.72,-1.09,-0.35,309.95,311.42,308.28,2384.0,87941.0,45590402.0
코스피 200 중공업,409.66,4.9,1.21,405.24,412.42,403.26,15331.0,543230.0,81001226.0
코스피 200 철강/소재,825.15,-12.06,-1.44,825.48,828.19,815.55,1916.0,218369.0,56128603.0
코스피 200 에너지/화학,1236.41,8.43,0.69,1227.57,1247.71,1225.09,18000.0,891100.0,115970537.0
코스피 200 정보기술,3575.7,32.28,0.91,3563.8,3602.36,3546.31,24962.0,2573640.0,728964977.0
코스피 200 금융,808.45,-5.88,-0.72,806.94,810.05,800.08,10032.0,327834.0,202676349.0
코스피 200 생활소비재,890.75,-7.04,-0.78,895.12,902.92,888.12,4228.0,345302.0,88425673.0
코스피 200 경기소비재,1726.57,-7.55,-0.44,1722.77,1733.1,1702.34,8880.0,857039.0,175763053.0
코스피 200 산업재,650.11,-2.58,-0.4,646.78,651.12,640.45,37879.0,1353503.0,200717724.0
코스피 200 헬스케어,1785.51,-18.43,-1.02,1798.7,1803.08,1782.95,1452.0,144466.0,128505803.0
음식료품,4058.29,-55.96,-1.36,4099.44,4117.65,4051.01,8167.0,173080.0,28475765.0
섬유의복,249.53,-0.92,-0.37,249.86,250.37,247.29,14688.0,33321.0,5950279.0
종이목재,292.69,-0.25,-0.09,293.22,293.6,291.29,1706.0,5973.0,2603219.0
화학,4612.93,19.95,0.43,4587.68,4656.47,4569.82,33948.0,1227578.0,154158000.0
의약품,13436.1,-99.39,-0.73,13487.27,13539.41,13418.91,3798.0,146954.0,126019428.0
비금속광물,4151.23,-10.99,-0.26,4153.61,4166.08,4137.75,2696.0,20846.0,8832338.0
철강금속,5234.67,-49.47,-0.94,5225.86,5261.87,5181.76,33128.0,356049.0,63175547.0
기계,1392.44,0.61,0.04,1403.09,1408.5,1380.48,52504.0,757987.0,54881830.0
전기전자,29047.81,290.76,1.01,28830.24,29174.59,28617.2,122515.0,4436255.0,910654180.0
의료정밀,1700.49,-19.94,-1.16,1732.5,1736.33,1700.19,4272.0,78317.0,4632783.0
운수장비,2654.76,-0.48,-0.02,2638.04,2664.53,2605.05,20777.0,1061569.0,203126529.0
유통업,359.59,-6.36,-1.74,363.38,363.38,359.2,20258.0,232908.0,67005765.0
전기가스업,673.24,-2.42,-0.36,675.51,680.48,671.12,2570.0,46861.0,17749818.0
건설업,71.81,-0.06,-0.08,72.06,72.31,71.39,20289.0,508379.0,14661113.0
운수창고업,1558.25,-5.31,-0.34,1560.99,1575.92,1554.02,11621.0,75547.0,37242104.0
통신업,389.6,-3.42,-0.87,390.02,391.12,388.87,1111.0,22952.0,25373260.0
금융업,448.97,-2.26,-0.5,448.2,449.43,445.95,30266.0,967127.0,320965062.0
증권,2016.37,-14.02,-0.69,2025.99,2029.95,2015.73,3793.0,24046.0,22512387.0
보험,20465.92,23.4,0.11,20308.86,20537.04,20152.3,3166.0,89837.0,52183599.0
서비스업,1066.55,-0.25,-0.02,1063.27,1071.23,1055.71,20817.0,601137.0,165154860.0
제조업,7307.18,34.31,0.47,7272.34,7329.11,7223.27,300384.0,8325238.0,1576985086.0
코스피 대형주,2710.54,7.48,0.28,2699.33,2717.24,2685.05,81851.0,6348930.0,1784652499.0
코스피 중형주,3048.94,-6.15,-0.2,3043.92,3056.01,3025.75,83570.0,2566598.0,264085849.0
코스피 소형주,2385.69,-3.4,-0.14,2388.09,2390.74,2371.0,215920.0,960030.0,92033812.0
코스피 200 비중상한 30%,372.12,1.27,0.34,370.29,373.11,368.36,128141.0,7637301.0,1931560351.0
코스피 200 비중상한 25%,367.39,1.01,0.28,365.82,368.34,363.91,128141.0,7637301.0,1931560351.0
코스피 200 비중상한 20%,355.87,0.76,0.21,354.57,356.76,352.72,128141.0,7637301.0,1931560351.0
코스피 200 TOP 10,1353.87,2.86,0.21,1349.35,1358.55,1337.06,26251.0,3375173.0,979048833.0
