지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,362572.0,12455728.0,2336363329.0
코스피,2860.06,35.12,1.24,2836.21,2871.96,2836.21,362233.0,12476199.0,2335388685.0
코스피 200,395.19,6.66,1.71,390.51,396.42,390.49,145686.0,10608294.0,2060846322.0
코스피 100,2981.74,53.49,1.83,2943.64,2990.44,2943.64,116653.0,9547104.0,1874318662.0
코스피 50,2757.65,50.02,1.85,2723.19,2764.87,2723.19,80859.0,7669129.0,1616272043.0
코스피 200 중소형주,1358.76,-1.78,-0.13,1361.08,1372.45,1354.66,29033.0,1061190.0,186527660.0
코스피 200 초대형제외 지수,276.32,3.29,1.2,273.73,278.3,273.4,102794.0,6909241.0,1541475240.0
코스피200제외 코스피지수,3515.65,-13.54,-0.38,3531.68,3536.19,3512.74,201486.0,1526948.0,196191854.0
코스피 200 커뮤니케이션서비스,1646.77,28.6,1.77,1616.09,1657.17,1613.75,4830.0,409687.0,102761835.0
코스피 200 건설,304.35,3.63,1.21,301.68,307.33,301.57,2773.0,154634.0,43059296.0
코스피 200 중공업,439.9,-3.37,-0.76,441.71,444.98,437.63,12238.0,388713.0,92232952.0
코스피 200 철강/소재,825.29,-8.11,-0.97,832.38,835.28,823.95,1637.0,183213.0,55937605.0
코스피 200 에너지/화학,1223.14,-6.55,-0.53,1231.7,1238.37,1219.9,6683.0,442981.0,112652306.0
코스피 200 정보기술,3866.06,98.99,2.63,3794.65,3880.27,3786.75,58359.0,5830918.0,826815147.0
코스피 200 금융,873.34,12.76,1.48,867.31,883.93,866.6,16024.0,582044.0,217281798.0
코스피 200 생활소비재,858.63,2.99,0.35,856.46,866.02,855.11,9973.0,616408.0,85773801.0
코스피 200 경기소비재,1757.02,5.05,0.29,1753.95,1771.28,1744.62,7465.0,437222.0,179204371.0
코스피 200 산업재,668.51,-2.63,-0.39,671.44,677.05,666.07,16470.0,779673.0,214648774.0
코스피 200 헬스케어,1831.8,54.0,3.04,1781.19,1849.39,1780.06,9233.0,782801.0,130478436.0
음식료품,4325.8,5.79,0.13,4329.88,4357.45,4320.06,5876.0,189419.0,30317016.0
섬유의복,232.54,1.61,0.7,231.12,234.39,231.12,2109.0,10609.0,5549923.0
종이목재,281.16,-1.05,-0.37,282.05,283.17,280.54,1682.0,5013.0,2500807.0
화학,4404.75,-28.2,-0.64,4442.83,4449.8,4395.53,16434.0,796618.0,147697750.0
의약품,13754.76,178.89,1.32,13613.82,13851.91,13577.11,18550.0,831024.0,129007821.0
비금속광물,4057.57,-5.86,-0.14,4066.97,4074.3,4057.32,3702.0,41407.0,8632044.0
철강금속,5071.69,-12.08,-0.24,5080.27,5114.53,5047.77,12223.0,212111.0,61134486.0
기계,1458.75,10.94,0.76,1446.84,1476.81,1443.17,42432.0,608726.0,57507549.0
전기전자,31675.78,649.29,2.09,31239.89,31712.25,31135.0,83218.0,6353032.0,991077617.0
의료정밀,1696.47,-22.58,-1.31,1720.19,1731.37,1686.48,4055.0,86117.0,4621838.0
운수장비,2786.94,0.8,0.03,2789.76,2807.51,2770.6,19423.0,666933.0,213195726.0
유통업,374.83,8.29,2.26,367.48,376.49,367.48,39769.0,351008.0,70062641.0
전기가스업,721.15,11.44,1.61,709.33,722.28,709.33,7168.0,279554.0,19012984.0
건설업,68.5,0.03,0.04,68.6,69.13,68.29,7116.0,88066.0,13990871.0
운수창고업,1727.9,-27.31,-1.56,1758.47,1768.43,1727.41,23816.0,211256.0,41685834.0
통신업,386.98,-0.4,-0.1,387.25,389.58,385.8,2398.0,38022.0,25014621.0
금융업,476.27,5.38,1.14,473.03,481.59,473.03,32113.0,1009887.0,340223752.0
증권,2120.91,-5.67,-0.27,2126.97,2148.5,2116.7,6025.0,77107.0,23612817.0
보험,22374.47,314.2,1.42,22204.33,22606.95,22204.33,4981.0,135835.0,56999774.0
서비스업,1016.48,16.61,1.66,999.08,1020.89,997.55,16420.0,637466.0,158873567.0
제조업,7719.34,97.7,1.28,7656.71,7743.05,7641.66,223603.0,9832695.0,1665664860.0
코스피 대형주,2876.31,42.99,1.52,2846.17,2887.04,2846.17,114955.0,9444617.0,1893195329.0
코스피 중형주,3030.08,-3.39,-0.11,3036.83,3053.49,3024.44,65172.0,1708756.0,262629126.0
코스피 소형주,2343.12,-2.3,-0.1,2347.45,2351.95,2341.42,161929.0,727306.0,91041192.0
코스피 200 비중상한 30%,394.47,6.62,1.71,389.81,395.72,389.79,145686.0,10608294.0,2060846322.0
코스피 200 비중상한 25%,388.28,6.2,1.62,383.86,389.77,383.76,145686.0,10608294.0,2060846322.0
코스피 200 비중상한 20%,374.96,5.69,1.54,370.84,376.64,370.68,145686.0,10608294.0,2060846322.0
코스피 200 TOP 10,1386.99,16.82,1.23,1374.64,1390.88,1370.51,50667.0,5454540.0,1065538829.0
