지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,490243.0,11024023.0,2240443989.0
코스피,2749.27,-5.59,-0.2,2751.15,2763.06,2738.18,489517.0,11049497.0,2239393253.0
코스피 200,372.72,-0.94,-0.25,373.27,375.1,370.71,132347.0,8278602.0,1956412283.0
코스피 100,2821.89,-7.33,-0.26,2825.3,2839.77,2807.78,94419.0,7223284.0,1789751267.0
코스피 50,2595.91,-8.68,-0.33,2599.59,2612.63,2581.9,60954.0,5925217.0,1543704408.0
코스피 200 중소형주,1253.88,1.19,0.09,1251.82,1258.75,1251.82,37928.0,1055318.0,166661016.0
코스피 200 초대형제외 지수,265.31,-0.22,-0.08,264.54,267.33,264.5,106604.0,6251497.0,1485993418.0
코스피200제외 코스피지수,3378.08,11.29,0.34,3372.26,3381.82,3360.42,348594.0,2403833.0,205952120.0
코스피 200 커뮤니케이션서비스,1765.56,8.11,0.46,1758.11,1773.13,1757.9,4304.0,387283.0,111363127.0
코스피 200 건설,322.26,-4.58,-1.4,325.97,327.71,321.72,4141.0,162035.0,50455564.0
코스피 200 중공업,374.78,0.76,0.2,375.71,378.05,372.23,21118.0,458473.0,74216566.0
코스피 200 철강/소재,855.47,-6.15,-0.71,858.0,865.02,854.18,2068.0,259429.0,59180912.0
코스피 200 에너지/화학,1354.22,-2.43,-0.18,1347.99,1370.03,1347.69,4747.0,450070.0,128515004.0
코스피 200 정보기술,3510.1,10.63,0.3,3491.06,3529.3,3484.21,39204.0,3628591.0,712100845.0
코스피 200 금융,845.04,-2.68,-0.32,836.56,851.89,836.56,16878.0,562644.0,215238399.0
코스피 200 생활소비재,801.01,4.35,0.55,795.37,807.28,795.11,3624.0,245225.0,79666890.0
코스피 200 경기소비재,1714.02,-26.23,-1.51,1738.76,1743.63,1705.65,8752.0,775659.0,172041191.0
코스피 200 산업재,647.0,2.58,0.4,645.19,656.86,645.19,14516.0,941138.0,214869224.0
코스피 200 헬스케어,1942.87,6.98,0.36,1937.71,1948.72,1930.64,12994.0,408056.0,138764562.0
음식료품,3356.31,23.6,0.71,3332.54,3364.24,3328.24,3656.0,69192.0,23614368.0
섬유의복,262.47,5.12,1.99,256.25,263.02,255.68,1867.0,21057.0,6262420.0
종이목재,309.83,-0.76,-0.24,310.33,311.01,308.9,18663.0,37617.0,2755430.0
화학,4665.67,25.94,0.56,4620.46,4688.94,4620.46,21289.0,845838.0,157694347.0
의약품,14385.99,-26.82,-0.19,14387.9,14479.46,14326.49,92725.0,738276.0,135154281.0
비금속광물,4115.45,19.6,0.48,4091.09,4129.47,4086.53,1700.0,15453.0,9147263.0
철강금속,5433.96,-3.01,-0.06,5430.4,5489.39,5421.2,18989.0,315141.0,65850621.0
기계,1297.59,-1.93,-0.15,1305.63,1320.15,1295.48,76009.0,691670.0,51204274.0
전기전자,28801.3,-63.08,-0.22,28877.52,28979.37,28562.99,73908.0,4490159.0,902987447.0
의료정밀,1785.09,38.8,2.22,1747.87,1796.51,1744.47,2569.0,42739.0,4863261.0
운수장비,2545.84,-33.74,-1.31,2587.84,2597.17,2534.78,30202.0,1435783.0,195463045.0
유통업,388.16,-4.65,-1.18,390.91,393.96,387.48,32580.0,295350.0,73548420.0
전기가스업,730.64,0.55,0.08,728.25,742.17,726.39,1694.0,39374.0,19263131.0
건설업,71.19,-0.25,-0.35,71.38,71.5,71.03,18607.0,64767.0,14133067.0
운수창고업,1543.32,-7.45,-0.48,1551.41,1556.66,1540.92,9251.0,116280.0,40918663.0
통신업,404.37,2.4,0.6,402.73,406.82,402.73,2258.0,47890.0,26361418.0
금융업,468.1,-0.37,-0.08,464.91,472.34,464.91,35284.0,1163548.0,330321558.0
증권,2161.65,5.98,0.28,2146.29,2177.26,2146.29,7533.0,70335.0,24234649.0
보험,21363.78,-120.82,-0.56,21257.31,21802.66,21195.64,5279.0,152287.0,54364714.0
서비스업,1102.12,1.09,0.1,1099.22,1107.69,1098.29,42782.0,566737.0,163726612.0
제조업,7260.48,-16.15,-0.22,7277.55,7298.48,7222.45,344168.0,8719408.0,1570015694.0
코스피 대형주,2757.3,-7.15,-0.26,2760.21,2773.53,2744.38,102283.0,7813058.0,1818206108.0
코스피 중형주,2896.36,0.44,0.02,2892.94,2901.6,2889.41,71861.0,1433571.0,250332805.0
코스피 소형주,2359.94,8.42,0.36,2353.89,2361.5,2346.38,306559.0,1386149.0,90975202.0
코스피 200 비중상한 30%,372.11,-0.92,-0.25,372.61,374.46,370.15,132347.0,8278602.0,1956412283.0
코스피 200 비중상한 25%,367.35,-0.81,-0.22,367.58,369.63,365.61,132347.0,8278602.0,1956412283.0
코스피 200 비중상한 20%,355.79,-0.68,-0.19,355.76,358.08,354.29,132347.0,8278602.0,1956412283.0
코스피 200 TOP 10,1372.98,-2.41,-0.18,1374.09,1383.77,1365.44,37446.0,4434630.0,979286907.0
