지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,469312.0,9403292.0,2237350760.0
코스피,2746.07,-2.49,-0.09,2756.59,2763.63,2731.7,468510.0,9417404.0,2236303970.0
코스피 200,372.02,-0.63,-0.17,373.69,375.23,369.77,110808.0,6632144.0,1953843620.0
코스피 100,2817.36,-3.86,-0.14,2829.04,2840.83,2799.72,71744.0,5575316.0,1788062743.0
코스피 50,2591.47,-3.47,-0.13,2602.17,2614.72,2575.03,49312.0,4613604.0,1541848887.0
코스피 200 중소형주,1248.52,-4.36,-0.35,1254.22,1256.53,1244.22,39064.0,1056828.0,165780877.0
코스피 200 초대형제외 지수,265.02,-0.06,-0.02,265.42,266.69,263.42,93235.0,5248358.0,1485215690.0
코스피200제외 코스피지수,3378.74,-0.29,-0.01,3392.4,3392.96,3375.34,351381.0,2580803.0,206012588.0
코스피 200 커뮤니케이션서비스,1775.82,12.44,0.71,1757.48,1776.25,1752.55,3519.0,308030.0,112303659.0
코스피 200 건설,317.82,-4.5,-1.4,321.13,321.17,316.64,4156.0,137728.0,49875974.0
코스피 200 중공업,370.1,-4.67,-1.25,375.6,375.64,367.75,16896.0,380228.0,73341663.0
코스피 200 철강/소재,859.12,4.91,0.57,859.2,868.84,855.59,2169.0,270507.0,59673837.0
코스피 200 에너지/화학,1358.94,5.27,0.39,1354.11,1360.08,1346.32,4081.0,426018.0,129192072.0
코스피 200 정보기술,3516.33,6.25,0.18,3521.33,3552.38,3495.54,25133.0,2547488.0,710732307.0
코스피 200 금융,837.15,-6.62,-0.78,841.78,849.49,825.83,16391.0,585894.0,213647369.0
코스피 200 생활소비재,800.12,-0.19,-0.02,800.2,802.86,793.67,5070.0,280664.0,79472015.0
코스피 200 경기소비재,1700.72,-12.19,-0.71,1707.39,1720.35,1692.61,6290.0,482930.0,170534728.0
코스피 200 산업재,646.89,-0.01,0.0,650.18,653.91,645.0,12432.0,655171.0,215027288.0
코스피 200 헬스케어,1979.29,36.91,1.9,1961.77,1980.91,1956.78,14670.0,557486.0,140042708.0
음식료품,3381.64,25.29,0.75,3359.52,3387.45,3344.25,5905.0,91764.0,23793678.0
섬유의복,259.33,-3.08,-1.17,261.85,261.85,258.42,1755.0,10688.0,6190335.0
종이목재,308.9,-0.7,-0.23,311.54,313.02,308.44,44031.0,91099.0,2747272.0
화학,4701.6,38.48,0.83,4666.18,4708.23,4666.18,24133.0,875707.0,158936650.0
의약품,14517.62,142.6,0.99,14494.91,14583.79,14440.4,57848.0,727254.0,136407197.0
비금속광물,4109.13,-7.54,-0.18,4118.36,4125.24,4098.16,1837.0,12390.0,9133266.0
철강금속,5477.31,52.02,0.96,5464.66,5515.6,5453.64,20408.0,333994.0,66375794.0
기계,1290.03,-6.82,-0.53,1307.63,1308.88,1286.47,43489.0,728858.0,50924096.0
전기전자,28789.85,-21.28,-0.07,28985.86,29116.36,28583.2,45900.0,3349461.0,902178191.0
의료정밀,1751.69,-33.53,-1.88,1787.48,1791.22,1747.19,1780.0,30670.0,4772273.0
운수장비,2524.1,-21.03,-0.83,2546.32,2563.4,2511.64,23440.0,851010.0,193738374.0
유통업,384.93,-3.01,-0.78,388.22,388.33,384.27,37131.0,294590.0,72936404.0
전기가스업,721.09,-8.06,-1.11,728.02,729.07,706.5,3407.0,73006.0,19011213.0
건설업,70.25,-1.02,-1.43,70.94,70.94,70.11,19712.0,77742.0,13949091.0
운수창고업,1533.0,-9.67,-0.63,1543.17,1544.55,1526.91,9599.0,91509.0,40645321.0
통신업,401.33,-2.45,-0.61,402.99,404.19,400.61,2097.0,37949.0,26163561.0
금융업,464.15,-3.55,-0.76,466.9,469.57,459.83,31802.0,1019735.0,327519172.0
증권,2131.23,-25.86,-1.2,2144.53,2150.75,2109.9,6037.0,64490.0,23885129.0
보험,21305.81,-50.09,-0.23,21379.7,21614.51,21074.21,5140.0,127691.0,54232026.0
서비스업,1109.04,7.22,0.66,1099.09,1109.04,1095.66,82848.0,630362.0,164751954.0
제조업,7263.64,3.76,0.05,7295.48,7323.62,7226.19,273067.0,7119045.0,1570159586.0
코스피 대형주,2755.37,-1.21,-0.04,2765.63,2774.45,2738.84,79924.0,6394264.0,1816921150.0
코스피 중형주,2880.5,-14.72,-0.51,2897.71,2901.21,2875.82,83144.0,1486427.0,248963630.0
코스피 소형주,2360.96,0.45,0.02,2363.96,2365.2,2358.52,298851.0,1264844.0,91034436.0
코스피 200 비중상한 30%,371.42,-0.61,-0.16,373.05,374.58,369.19,110808.0,6632144.0,1953843620.0
코스피 200 비중상한 25%,366.71,-0.52,-0.14,368.15,369.7,364.55,110808.0,6632144.0,1953843620.0
코스피 200 비중상한 20%,355.22,-0.42,-0.12,356.44,357.98,353.17,110808.0,6632144.0,1953843620.0
코스피 200 TOP 10,1377.32,5.4,0.39,1376.78,1385.89,1369.01,25180.0,3134848.0,978866450.0
