지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,377516.0,12428120.0,2302054393.0
코스피,2818.32,24.31,0.87,2817.06,2822.93,2808.88,377045.0,12433820.0,2301094516.0
코스피 200,387.44,4.21,1.1,386.82,388.05,385.91,141928.0,10467835.0,2027242475.0
코스피 100,2919.96,30.78,1.07,2916.45,2924.09,2908.54,111550.0,9294021.0,1840732221.0
코스피 50,2700.02,27.4,1.03,2698.25,2706.49,2690.41,78607.0,7688915.0,1586033875.0
코스피 200 중소형주,1358.32,7.66,0.57,1357.35,1363.71,1349.91,30378.0,1173814.0,186510253.0
코스피 200 초대형제외 지수,272.49,0.81,0.3,273.31,274.68,271.33,99815.0,6936286.0,1524586784.0
코스피200제외 코스피지수,3527.71,1.12,0.03,3529.21,3541.9,3520.96,224530.0,1745288.0,196884033.0
코스피 200 커뮤니케이션서비스,1615.51,2.01,0.12,1615.51,1625.44,1610.41,3068.0,219097.0,100475269.0
코스피 200 건설,299.82,1.04,0.35,298.26,300.75,297.04,2078.0,76488.0,41500079.0
코스피 200 중공업,442.54,2.76,0.63,441.09,444.48,434.99,10916.0,413003.0,92925825.0
코스피 200 철강/소재,830.06,13.43,1.64,826.1,834.97,824.42,2143.0,199151.0,55866189.0
코스피 200 에너지/화학,1227.52,15.38,1.27,1222.52,1228.13,1212.91,5808.0,431199.0,113048613.0
코스피 200 정보기술,3757.87,24.74,0.66,3780.46,3787.49,3716.69,57842.0,6155501.0,801869443.0
코스피 200 금융,858.22,15.09,1.79,842.52,871.56,839.57,18839.0,668046.0,213816897.0
코스피 200 생활소비재,853.36,-6.96,-0.81,861.63,862.54,850.41,8369.0,569255.0,85162505.0
코스피 200 경기소비재,1748.51,8.9,0.51,1746.05,1762.3,1737.9,6890.0,388984.0,178122596.0
코스피 200 산업재,670.86,1.93,0.29,673.84,678.2,665.33,19421.0,980485.0,215845642.0
코스피 200 헬스케어,1774.64,10.8,0.61,1775.74,1784.5,1761.53,6553.0,366626.0,128609416.0
음식료품,4307.54,-45.36,-1.04,4381.09,4391.67,4295.22,8034.0,211959.0,30191064.0
섬유의복,230.91,-0.51,-0.22,232.07,232.8,229.98,1543.0,9591.0,5511650.0
종이목재,282.33,0.91,0.32,282.18,282.82,281.03,1513.0,4564.0,2511244.0
화학,4428.5,34.04,0.77,4421.36,4434.49,4380.67,14469.0,733301.0,148441035.0
의약품,13557.41,-1.43,-0.01,13577.16,13616.76,13469.07,8869.0,340705.0,127175387.0
비금속광물,4059.68,-5.77,-0.14,4064.57,4067.34,4053.16,2102.0,21402.0,8636758.0
철강금속,5069.38,63.21,1.26,5061.85,5081.74,5028.99,31203.0,303069.0,61106595.0
기계,1445.14,-11.18,-0.77,1469.63,1469.73,1427.17,24812.0,601195.0,56971220.0
전기전자,30930.79,359.68,1.18,31056.15,31131.23,30737.73,91500.0,6874366.0,967599278.0
의료정밀,1715.59,29.74,1.76,1704.42,1744.62,1689.31,9901.0,231855.0,4673925.0
운수장비,2781.68,28.6,1.04,2762.54,2794.83,2756.87,22624.0,668661.0,213024849.0
유통업,365.55,1.43,0.39,363.92,368.59,362.33,58909.0,270720.0,68325907.0
전기가스업,708.33,2.61,0.37,707.75,716.28,705.41,5897.0,247561.0,18675032.0
건설업,68.41,-0.33,-0.48,68.73,68.78,68.28,5221.0,65542.0,13972504.0
운수창고업,1755.59,-2.04,-0.12,1757.08,1782.61,1736.12,21412.0,215737.0,42353004.0
통신업,385.83,0.28,0.07,385.99,387.62,384.7,1469.0,34245.0,24940217.0
금융업,469.75,7.2,1.56,463.75,474.55,462.87,37558.0,1097615.0,335594374.0
증권,2122.61,62.16,3.02,2067.58,2135.4,2062.68,8877.0,122633.0,23635915.0
보험,22004.59,421.89,1.95,21662.36,22722.47,21480.17,8637.0,192564.0,56061444.0
서비스업,998.76,0.64,0.06,997.13,1006.04,996.2,16578.0,466031.0,156104984.0
제조업,7602.63,66.83,0.89,7620.52,7626.31,7564.18,223533.0,10024519.0,1640275876.0
코스피 대형주,2826.07,27.41,0.98,2824.69,2830.27,2815.05,108523.0,9208501.0,1860129149.0
코스피 중형주,3028.67,14.39,0.48,3029.24,3042.4,3015.18,68119.0,1907742.0,262506999.0
코스피 소형주,2344.24,1.26,0.05,2347.96,2350.07,2340.24,186216.0,911967.0,91105221.0
코스피 200 비중상한 30%,386.76,4.16,1.09,386.17,387.4,385.24,141928.0,10467835.0,2027242475.0
코스피 200 비중상한 25%,381.06,3.61,0.96,380.76,382.08,379.65,141928.0,10467835.0,2027242475.0
코스피 200 비중상한 20%,368.34,3.02,0.83,368.33,369.72,367.0,141928.0,10467835.0,2027242475.0
코스피 200 TOP 10,1368.27,4.36,0.32,1377.31,1377.33,1362.24,51914.0,5808843.0,1041837244.0
