지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,605444.0,12398587.0,2247669976.0
코스피,2753.82,5.96,0.22,2744.15,2760.33,2737.19,600442.0,12400210.0,2246614792.0
코스피 200,376.4,2.12,0.57,374.16,377.29,373.44,140161.0,9251447.0,1959692361.0
코스피 100,2842.8,14.86,0.53,2826.7,2849.34,2820.61,101125.0,8061801.0,1793076735.0
코스피 50,2608.86,11.05,0.43,2597.87,2617.33,2592.73,72132.0,6601079.0,1548347300.0
코스피 200 중소형주,1251.55,-10.54,-0.84,1253.36,1257.88,1249.75,39036.0,1189646.0,166615626.0
코스피 200 초대형제외 지수,260.13,-2.08,-0.79,260.62,261.16,259.39,105300.0,6313928.0,1452857823.0
코스피200제외 코스피지수,3419.19,-19.03,-0.55,3438.75,3442.61,3408.28,296962.0,2783912.0,208448541.0
코스피 200 커뮤니케이션서비스,1767.68,-37.26,-2.06,1781.69,1785.74,1762.91,6141.0,476867.0,112275142.0
코스피 200 건설,315.11,-4.23,-1.32,317.46,318.21,314.45,2907.0,99095.0,49168782.0
코스피 200 중공업,370.31,-0.55,-0.15,367.93,373.06,364.21,22625.0,594223.0,73221091.0
코스피 200 철강/소재,823.75,-8.92,-1.07,828.21,834.33,822.2,2142.0,280050.0,56981102.0
코스피 200 에너지/화학,1326.53,-6.1,-0.46,1323.17,1330.0,1317.82,5155.0,456835.0,125343785.0
코스피 200 정보기술,3604.83,20.88,0.58,3597.0,3630.16,3576.52,44377.0,4155296.0,759116527.0
코스피 200 금융,774.94,0.05,0.01,765.19,780.53,762.9,14365.0,471570.0,197791956.0
코스피 200 생활소비재,815.44,-6.96,-0.85,814.22,820.45,812.87,4612.0,287697.0,80878677.0
코스피 200 경기소비재,1624.88,-39.96,-2.4,1647.28,1657.17,1614.24,12109.0,828768.0,162085468.0
코스피 200 산업재,644.23,5.07,0.79,635.72,644.59,629.43,21656.0,1287170.0,207902364.0
코스피 200 헬스케어,1886.86,-40.44,-2.1,1915.4,1917.77,1883.76,4071.0,313874.0,134927467.0
음식료품,3467.22,-34.38,-0.98,3473.24,3488.15,3463.71,3721.0,73576.0,24373985.0
섬유의복,268.61,-4.43,-1.62,273.07,274.43,268.49,2200.0,21969.0,6412703.0
종이목재,298.28,-2.47,-0.82,299.37,300.77,297.12,8900.0,34683.0,2652926.0
화학,4621.57,-24.5,-0.53,4611.96,4640.11,4593.27,18548.0,775151.0,156124428.0
의약품,14016.1,-169.65,-1.2,14107.44,14124.56,13974.36,12265.0,348385.0,131694679.0
비금속광물,4069.35,-6.67,-0.16,4070.27,4079.87,4058.48,11086.0,131592.0,9040374.0
철강금속,5267.47,-80.03,-1.5,5308.13,5334.27,5262.49,12423.0,313982.0,63834517.0
기계,1400.46,-9.46,-0.67,1406.81,1419.12,1385.53,42907.0,1066900.0,55283841.0
전기전자,30144.86,527.61,1.78,29859.22,30249.03,29775.38,85829.0,5207712.0,947603549.0
의료정밀,1796.55,-34.24,-1.87,1822.65,1833.02,1793.83,11071.0,70634.0,4894486.0
운수장비,2433.75,-16.22,-0.66,2429.89,2439.58,2397.45,42626.0,1837208.0,186375120.0
유통업,379.95,-4.06,-1.06,382.34,382.51,379.44,68331.0,236869.0,71988411.0
전기가스업,691.02,-15.71,-2.22,702.14,702.14,688.44,4100.0,66029.0,18218442.0
건설업,70.26,-0.13,-0.18,70.02,70.68,70.0,16550.0,216281.0,14285163.0
운수창고업,1530.73,-15.11,-0.98,1534.07,1540.43,1525.59,26997.0,143020.0,40585588.0
통신업,391.1,-5.46,-1.38,393.37,394.39,390.82,2142.0,54474.0,25496744.0
금융업,436.72,-0.67,-0.15,432.84,438.57,431.07,33575.0,842220.0,308137634.0
증권,1993.84,2.07,0.1,1982.53,2011.14,1974.53,5760.0,44478.0,22338708.0
보험,19910.94,198.91,1.01,19464.64,20121.78,19440.7,7485.0,119437.0,50619010.0
서비스업,1103.85,-19.8,-1.76,1112.52,1114.29,1101.11,35505.0,850952.0,163636639.0
제조업,7401.23,48.74,0.66,7366.63,7414.03,7338.85,253781.0,9901389.0,1603118207.0
코스피 대형주,2767.69,11.26,0.41,2754.13,2774.55,2747.47,113595.0,9153263.0,1826585083.0
코스피 중형주,2871.88,-24.34,-0.84,2880.09,2887.72,2867.6,98034.0,1801238.0,248543927.0
코스피 소형주,2325.03,-20.13,-0.86,2344.51,2344.51,2320.26,216793.0,861603.0,89640910.0
코스피 200 비중상한 30%,375.45,1.96,0.52,373.31,376.35,372.57,140161.0,9251447.0,1959692361.0
코스피 200 비중상한 25%,368.89,1.12,0.3,367.24,369.81,366.44,140161.0,9251447.0,1959692361.0
코스피 200 비중상한 20%,355.59,0.31,0.09,354.45,356.51,353.58,140161.0,9251447.0,1959692361.0
코스피 200 TOP 10,1344.57,-10.35,-0.76,1351.62,1356.77,1339.89,44899.0,5002113.0,1008448198.0
