지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,454260.0,11479441.0,2183434414.0
코스피,2680.35,32.73,1.24,2676.79,2688.0,2668.38,451705.0,11471659.0,2182424274.0
코스피 200,361.71,4.89,1.37,360.87,362.72,360.01,117520.0,8377419.0,1898934521.0
코스피 100,2742.95,37.92,1.4,2735.93,2750.96,2730.14,83977.0,7342009.0,1737626935.0
코스피 50,2527.6,35.19,1.41,2521.62,2536.73,2515.55,58824.0,6097068.0,1499847093.0
코스피 200 중소형주,1223.9,10.8,0.89,1226.71,1230.06,1217.61,33543.0,1035410.0,161307587.0
코스피 200 초대형제외 지수,262.11,3.38,1.31,261.84,263.48,261.21,98248.0,6970685.0,1461349460.0
코스피200제외 코스피지수,3308.8,9.65,0.29,3321.92,3326.2,3293.02,329976.0,2896893.0,209474240.0
코스피 200 커뮤니케이션서비스,1741.43,12.07,0.7,1746.55,1761.79,1739.03,5255.0,413251.0,109935402.0
코스피 200 건설,330.45,7.0,2.16,327.92,330.45,325.37,4758.0,159092.0,52376926.0
코스피 200 중공업,328.33,2.14,0.66,328.72,330.6,324.78,14131.0,298802.0,64418896.0
코스피 200 철강/소재,873.87,9.11,1.05,876.63,884.93,870.38,3826.0,378195.0,60917645.0
코스피 200 에너지/화학,1339.71,5.93,0.44,1348.71,1357.1,1331.23,8094.0,824779.0,126956981.0
코스피 200 정보기술,3392.7,78.54,2.37,3367.48,3417.38,3367.48,29772.0,3316393.0,667864563.0
코스피 200 금융,807.16,1.44,0.18,810.13,812.09,801.86,19417.0,660954.0,207102587.0
코스피 200 생활소비재,794.24,4.55,0.58,794.4,797.39,788.71,6138.0,296718.0,79478345.0
코스피 200 경기소비재,1778.07,18.08,1.03,1779.67,1788.43,1766.07,8805.0,793883.0,180468157.0
코스피 200 산업재,647.26,1.73,0.27,651.43,653.44,643.22,12766.0,771203.0,213386849.0
코스피 200 헬스케어,1901.96,73.18,4.0,1856.77,1901.96,1856.77,4559.0,464150.0,136028171.0
음식료품,3351.23,27.66,0.83,3344.52,3356.0,3340.53,2886.0,81162.0,23568112.0
섬유의복,253.0,2.28,0.91,252.46,253.48,250.29,1846.0,16130.0,6056325.0
종이목재,298.79,-3.29,-1.09,303.0,303.18,298.54,2005.0,9147.0,2658068.0
화학,4587.53,25.94,0.57,4610.0,4639.14,4566.51,39784.0,1847282.0,155110459.0
의약품,14101.58,514.07,3.78,13886.57,14101.75,13864.1,19991.0,478616.0,132456998.0
비금속광물,4098.23,58.83,1.46,4076.43,4103.04,4074.05,2101.0,25434.0,9129834.0
철강금속,5564.61,39.53,0.72,5573.11,5652.52,5549.22,12872.0,369997.0,67434445.0
기계,1249.47,24.42,1.99,1246.19,1250.41,1232.03,36207.0,662145.0,49195654.0
전기전자,27366.95,465.48,1.73,27233.38,27448.86,27177.43,67847.0,4422901.0,857813199.0
의료정밀,1851.45,32.28,1.77,1829.65,1880.66,1829.19,3642.0,108492.0,5044049.0
운수장비,2576.5,20.09,0.79,2580.93,2588.64,2561.81,19646.0,1021197.0,197866676.0
유통업,397.09,4.52,1.15,398.28,398.28,393.8,30770.0,257777.0,75341450.0
전기가스업,765.1,-7.04,-0.91,775.27,775.28,745.6,3880.0,95947.0,20171525.0
건설업,71.4,0.48,0.68,71.24,71.45,70.69,6531.0,51837.0,14175248.0
운수창고업,1592.73,-8.61,-0.54,1614.3,1622.13,1586.82,12398.0,121698.0,42185521.0
통신업,402.57,-0.1,-0.02,403.88,406.74,400.77,2477.0,61631.0,26244042.0
금융업,451.84,0.48,0.11,454.29,454.53,450.54,38192.0,1018811.0,318773613.0
증권,2113.15,9.79,0.47,2119.42,2121.26,2098.55,9437.0,65613.0,23781545.0
보험,21185.69,-47.05,-0.22,21386.65,21589.42,21099.11,5758.0,152910.0,53909147.0
서비스업,1094.92,12.64,1.17,1093.05,1102.38,1091.53,142811.0,764731.0,162668939.0
제조업,7039.35,111.35,1.61,7013.58,7055.77,6998.41,211462.0,9085026.0,1521769342.0
코스피 대형주,2685.47,36.98,1.4,2679.54,2692.89,2673.26,89538.0,7678587.0,1746169708.0
코스피 중형주,2851.41,21.57,0.76,2856.92,2863.6,2840.62,74875.0,2136388.0,239263298.0
코스피 소형주,2310.34,8.42,0.37,2308.42,2316.5,2302.92,279368.0,1047779.0,89761007.0
코스피 200 비중상한 30%,361.31,4.87,1.37,360.48,362.34,359.63,117520.0,8377419.0,1898934521.0
코스피 200 비중상한 25%,357.74,4.79,1.36,356.99,358.89,356.19,117520.0,8377419.0,1898934521.0
코스피 200 비중상한 20%,347.49,4.62,1.35,346.84,348.74,346.08,117520.0,8377419.0,1898934521.0
코스피 200 TOP 10,1378.46,25.91,1.92,1372.82,1389.08,1371.98,31538.0,4361311.0,950388251.0
