지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,720452.0,12739395.0,2190991693.0
코스피,2690.14,33.97,1.28,2680.7,2692.52,2674.09,719452.0,12735687.0,2189937779.0
코스피 200,363.32,5.99,1.68,361.07,363.58,359.93,147686.0,9751062.0,1911887851.0
코스피 100,2749.44,43.29,1.6,2734.64,2751.06,2726.85,117997.0,8906540.0,1748434611.0
코스피 50,2527.49,37.8,1.52,2515.66,2529.06,2506.84,91383.0,7951320.0,1507884881.0
코스피 200 중소형주,1227.98,3.39,0.28,1233.84,1235.15,1223.72,29689.0,844522.0,163453240.0
코스피 200 초대형제외 지수,258.48,0.11,0.04,260.72,261.59,257.63,97580.0,5951844.0,1452811573.0
코스피200제외 코스피지수,3345.89,5.54,0.17,3352.48,3359.16,3341.6,564730.0,2712589.0,203844112.0
코스피 200 커뮤니케이션서비스,1736.11,8.7,0.5,1740.66,1748.73,1728.63,3495.0,251214.0,109383209.0
코스피 200 건설,318.92,3.54,1.12,318.64,320.21,316.55,3664.0,155272.0,49704343.0
코스피 200 중공업,368.07,4.97,1.37,364.9,369.98,364.21,22332.0,529022.0,72944477.0
코스피 200 철강/소재,846.81,-6.18,-0.72,858.49,858.63,845.66,2123.0,293009.0,58755241.0
코스피 200 에너지/화학,1341.23,-9.37,-0.69,1356.07,1357.75,1338.94,5472.0,540198.0,127092811.0
코스피 200 정보기술,3364.78,24.41,0.73,3366.86,3381.67,3348.34,60150.0,5356608.0,687223315.0
코스피 200 금융,820.28,10.67,1.32,825.33,840.53,819.04,18055.0,676015.0,208892523.0
코스피 200 생활소비재,786.01,2.86,0.37,788.86,791.38,781.25,5781.0,331454.0,78193914.0
코스피 200 경기소비재,1697.18,-3.21,-0.19,1717.89,1732.16,1683.18,11203.0,815121.0,170749403.0
코스피 200 산업재,636.29,-2.17,-0.34,642.25,643.05,635.05,9696.0,517337.0,211773152.0
코스피 200 헬스케어,1903.96,0.06,0.0,1920.38,1939.32,1892.53,5715.0,285814.0,137175463.0
음식료품,3332.69,-2.38,-0.07,3345.79,3350.98,3315.21,3322.0,64490.0,23447705.0
섬유의복,255.15,-0.62,-0.24,256.72,256.89,253.95,1550.0,15736.0,6088841.0
종이목재,307.04,6.85,2.28,301.39,307.81,301.22,87535.0,144841.0,2730838.0
화학,4599.24,-18.55,-0.4,4642.09,4649.1,4591.64,52747.0,1314980.0,155461299.0
의약품,14250.09,20.19,0.14,14325.7,14457.93,14200.23,109656.0,589644.0,133865262.0
비금속광물,4090.81,1.55,0.04,4098.89,4110.9,4087.19,1901.0,13536.0,9113400.0
철강금속,5395.62,-47.34,-0.87,5466.18,5466.18,5387.52,14751.0,352560.0,65386315.0
기계,1286.13,3.8,0.3,1289.07,1292.7,1277.02,162820.0,710409.0,50752253.0
전기전자,27915.56,760.1,2.8,27433.71,27938.73,27266.94,111782.0,6210615.0,874558669.0
의료정밀,1717.33,21.41,1.26,1716.79,1757.81,1708.83,3286.0,46656.0,4678646.0
운수장비,2522.25,4.28,0.17,2540.59,2568.06,2500.05,35614.0,1144734.0,193394789.0
유통업,382.67,4.65,1.23,381.42,383.72,378.57,36737.0,348380.0,72598472.0
전기가스업,713.76,-2.71,-0.38,721.2,724.49,701.03,3507.0,77644.0,18817973.0
건설업,70.5,0.07,0.1,70.92,71.11,70.35,8464.0,48960.0,13998121.0
운수창고업,1538.41,0.2,0.01,1542.96,1550.87,1536.39,8140.0,70177.0,40788568.0
통신업,396.58,-0.73,-0.18,398.91,400.29,396.21,1785.0,38333.0,25853724.0
금융업,454.58,4.7,1.04,456.47,462.53,454.18,36894.0,1063604.0,320658548.0
증권,2116.58,11.81,0.56,2117.61,2138.65,2111.24,8900.0,71395.0,23746161.0
보험,20673.08,345.59,1.7,20645.02,21284.13,20619.7,5361.0,165941.0,52584820.0
서비스업,1089.54,6.0,0.55,1092.5,1096.49,1085.56,34695.0,442422.0,161854742.0
제조업,7100.74,105.56,1.51,7054.69,7105.93,7024.55,587168.0,10641808.0,1534271682.0
코스피 대형주,2693.59,38.8,1.46,2681.62,2696.27,2674.38,121687.0,9227112.0,1776116017.0
코스피 중형주,2855.35,7.7,0.27,2864.09,2870.46,2846.88,59636.0,1347125.0,246883724.0
코스피 소형주,2333.97,13.48,0.58,2325.22,2337.47,2325.12,530894.0,1840075.0,89830558.0
코스피 200 비중상한 30%,362.72,5.81,1.63,360.63,362.95,359.52,147686.0,9751062.0,1911887851.0
코스피 200 비중상한 25%,358.05,4.79,1.36,356.85,358.34,355.78,147686.0,9751062.0,1911887851.0
코스피 200 비중상한 20%,346.75,3.73,1.09,346.43,347.4,345.39,147686.0,9751062.0,1911887851.0
코스피 200 TOP 10,1346.35,3.14,0.23,1351.81,1360.67,1340.03,61732.0,6181190.0,954268873.0
