종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2985,-205,-6.43,3150,3160,2985,2482183,7598492875,145852609210,48536642
095570,AJ네트웍스,KOSPI,,4930,5,0.1,4925,5070,4835,449757,2236092545,223322365665,45252759
006840,AK홀딩스,KOSPI,,15440,-100,-0.64,15540,15540,15400,5007,77267070,204409866230,13247561
054620,APS,KOSDAQ,중견기업부,7310,-50,-0.68,7400,7470,7260,40060,294863340,150101466560,20394221
265520,AP시스템,KOSDAQ,우량기업부,21000,700,3.45,20350,21050,20350,85201,1774629250,320909841000,15281421
211270,AP위성,KOSDAQ,벤처기업부,16290,-160,-0.97,16720,16720,16150,209512,3426891970,245841555200,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7810,50,0.64,7680,7810,7640,37796,291861220,67254606780,8644551
027410,BGF,KOSPI,,3840,-20,-0.52,3865,3905,3830,96453,372150830,368988229305,95716791
282330,BGF리테일,KOSPI,,118200,-200,-0.17,119400,119400,116700,52418,6168679100,2042957689200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4370,-20,-0.46,4410,4420,4325,68831,300380520,236125411750,54033275
138930,BNK금융지주,KOSPI,,8060,120,1.51,8030,8160,8000,1129986,9127776060,2602474579040,322088438
001460,BYC,KOSPI,,489500,-1000,-0.2,498000,498000,482500,302,147809000,302001352500,624615
001465,BYC우,KOSPI,,179700,-1200,-0.66,178100,181000,178100,714,127566200,38446222500,215385
013720,CBI,KOSDAQ,중견기업부,1642,-8,-0.48,1612,1658,1608,240978,391928262,70333736696,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3765,-125,-3.21,3880,3880,3700,417205,1568518870,289122124320,76894182
001040,CJ,KOSPI,,112200,1000,0.9,111800,113600,106500,180914,19957718100,3259070676600,29176998
079160,CJ CGV,KOSPI,,5630,-30,-0.53,5660,5730,5610,312849,1770879640,688067171220,122431881
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,74600,-1400,-1.84,76000,76500,73800,61309,4573541300,1629336142200,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14610,-60,-0.41,14670,14720,14480,6106,89179730,132495779080,9112502
00104K,CJ4우(전환),KOSPI,,84000,1000,1.2,82100,84000,80900,9203,759233800,355027008000,4226512
000120,CJ대한통운,KOSPI,,128700,-700,-0.54,130600,130700,127000,46599,5990992700,2913136328800,22812344
011150,CJ씨푸드,KOSPI,,2700,0,0.0,2700,2715,2695,45233,122374615,97192740965,35930773
011155,CJ씨푸드1우,KOSPI,,20500,-100,-0.49,20250,20500,20100,324,6580500,4020000000,200000
001045,CJ우,KOSPI,,58700,-900,-1.51,59600,61400,58200,5655,335183900,132449067800,2260223
097950,CJ제일제당,KOSPI,,292000,0,0.0,295500,295500,289500,21526,6277710000,4403349405000,15054186
097955,CJ제일제당 우,KOSPI,,136600,900,0.66,135300,137200,135300,1583,216256300,181460091100,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23900,50,0.21,23850,24100,23650,20396,486911650,281356588200,11871586
058820,CMG제약,KOSDAQ,중견기업부,2195,20,0.92,2175,2245,2175,463823,1027577660,306257398020,138892244
023460,CNH,KOSDAQ,중견기업부,1793,8,0.45,1770,1800,1770,1070,1908715,66699600000,37200000
056730,CNT85,KOSDAQ,중견기업부,1165,-14,-1.19,1172,1174,1156,20939,24346066,86413642876,74111186
000480,CR홀딩스,KOSPI,,6130,20,0.33,6120,6160,6070,17692,108021730,287438703700,46890490
065770,CS,KOSDAQ,벤처기업부,1224,-14,-1.13,1229,1250,1195,51730,63362565,23720400860,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1251,14,1.13,1237,1255,1189,82056,99078725,76803964974,61247181
000590,CS홀딩스,KOSPI,,66300,300,0.45,66000,66300,65600,427,28211800,76542156600,1154482
012030,DB,KOSPI,,1571,-3,-0.19,1576,1600,1564,441639,696112737,318257162006,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2250,0,0.0,2225,2250,2180,17565,38812350,11958750000,5315000
016610,DB금융투자,KOSPI,,4465,0,0.0,4465,4490,4445,56033,249730525,189523126885,42446389
005830,DB손해보험,KOSPI,,100700,700,0.7,102000,104900,99800,276902,28114297600,7115400000000,70800000
000990,DB하이텍,KOSPI,,44650,400,0.9,44450,44850,44200,184983,8247526550,1982396954200,44398588
139130,DGB금융지주,KOSPI,,8730,90,1.04,8640,8880,8640,746176,6540903050,1478334580420,169145833
060900,DGP,KOSDAQ,중견기업부,1688,140,9.04,1605,1790,1499,1716255,2911174409,42358050033,25258229
290120,DH오토리드,KOSDAQ,우량기업부,3250,5,0.15,3245,3310,3230,17169,55803665,50346622810,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,1983,3,0.15,1980,1983,1949,12809,25218011,61039167192,30781224
001530,DI동일,KOSPI,,27000,-50,-0.18,27150,27150,26650,31828,853459550,666706428850,24738643
000210,DL,KOSPI,,53400,600,1.14,52700,54100,52300,160899,8591620500,1119044205600,20955884
000215,DL우,KOSPI,,25700,350,1.38,25500,26500,24450,1435,36737450,43164544000,1686115
375500,DL이앤씨,KOSPI,,35650,-100,-0.28,36200,36400,35300,95626,3429084250,1373623616500,38693623
37550L,DL이앤씨2우(전환),KOSPI,,24500,100,0.41,24700,24700,24300,773,18865650,51742799500,2111951
37550K,DL이앤씨우,KOSPI,,18550,300,1.64,18150,18550,18150,1063,19509850,38958900550,2113885
068790,DMS,KOSDAQ,우량기업부,6880,80,1.18,6830,6900,6770,168007,1148820510,169062659680,24573061
