종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2790,-100,-3.46,2875,2890,2790,792583,2227463160,135902597600,48536642
095570,AJ네트웍스,KOSPI,,4510,-55,-1.2,4520,4600,4510,153488,695718690,206126317245,45252759
006840,AK홀딩스,KOSPI,,15760,140,0.9,15620,15970,15620,5941,93779480,208781561360,13247561
054620,APS,KOSDAQ,중견기업부,7080,-450,-5.98,7550,7680,7050,305317,2234756970,144595026890,20394221
265520,AP시스템,KOSDAQ,우량기업부,21300,-300,-1.39,21850,21950,20800,113034,2407413950,326258338350,15281421
211270,AP위성,KOSDAQ,벤처기업부,16830,-30,-0.18,17440,17540,16420,926830,15677623440,253835176320,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7220,-180,-2.43,7560,7930,7170,107285,796138510,62413658220,8644551
027410,BGF,KOSPI,,3935,120,3.15,3830,3945,3800,171051,663743370,376645572585,95716791
282330,BGF리테일,KOSPI,,123400,-3500,-2.76,126300,126900,123400,137695,17145049950,2150117906400,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4480,0,0.0,4490,4500,4405,79956,355347980,241258572875,54033275
138930,BNK금융지주,KOSPI,,8340,350,4.38,8040,8410,7960,3331685,27423688390,2692659341680,322088438
001460,BYC,KOSPI,,479500,9500,2.02,475000,481000,474000,182,86875000,299502892500,624615
001465,BYC우,KOSPI,,179700,6600,3.81,175600,180400,175600,592,106234700,38661607500,215385
013720,CBI,KOSDAQ,중견기업부,1846,122,7.08,1723,1855,1672,1076366,1904026112,78386564040,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3100,-90,-2.82,3190,3255,3060,260055,815182295,240294318750,76894182
001040,CJ,KOSPI,,95800,3800,4.13,92900,96000,91900,144933,13737131700,2800991808000,29176998
079160,CJ CGV,KOSPI,,5730,20,0.35,5730,5800,5700,399660,2297524220,701534357250,122431825
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,76400,600,0.79,75900,78500,75500,83197,6410740500,1684159027200,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14560,-340,-2.28,14910,15040,14550,10461,154060690,133407029280,9112502
00104K,CJ4우(전환),KOSPI,,75200,1600,2.17,73700,75400,73400,12998,969654600,316143097600,4226512
000120,CJ대한통운,KOSPI,,126100,5200,4.3,121600,127200,121500,195303,24435020100,2867511640800,22812344
011150,CJ씨푸드,KOSPI,,2700,-5,-0.18,2710,2725,2695,52202,141365180,97192740965,35930773
011155,CJ씨푸드1우,KOSPI,,19870,-80,-0.4,19890,20100,19870,274,5449840,3976000000,200000
001045,CJ우,KOSPI,,57500,600,1.05,56900,57500,56500,2147,122460600,129962822500,2260223
097950,CJ제일제당,KOSPI,,287000,4000,1.41,285000,287500,284000,35643,10200284000,4305497196000,15054186
097955,CJ제일제당 우,KOSPI,,136200,-1100,-0.8,137300,137300,135600,2305,313616200,180796374600,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,24250,0,0.0,24250,24350,24000,9427,228030200,287885960500,11871586
058820,CMG제약,KOSDAQ,중견기업부,2195,-10,-0.45,2200,2220,2175,312001,683320680,306257398020,138892244
023460,CNH,KOSDAQ,중견기업부,1790,-3,-0.17,1792,1792,1762,1438,2546768,66476400000,37200000
056730,CNT85,KOSDAQ,중견기업부,1190,-9,-0.75,1210,1210,1190,12864,15344028,88488756084,74111186
000480,CR홀딩스,KOSPI,,6300,90,1.45,6210,6300,6160,17321,107592090,294003372300,46890490
065770,CS,KOSDAQ,벤처기업부,1250,20,1.63,1230,1250,1219,43429,53522595,24225090240,19411130
083660,CSA 코스믹,KOSDAQ,관리종목(소속부없음),1246,3,0.24,1231,1278,1184,40213,48641970,76313987526,61247181
000590,CS홀딩스,KOSPI,,65500,100,0.15,65100,65700,64800,755,49302700,75272226400,1154482
012030,DB,KOSPI,,1578,25,1.61,1557,1770,1541,4932695,8100935736,317854814140,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2260,15,0.67,2275,2275,2210,2660,5981135,12011900000,5315000
016610,DB금융투자,KOSPI,,4520,80,1.8,4440,4525,4425,107929,484179845,192069910225,42446389
005830,DB손해보험,KOSPI,,106200,9300,9.6,97600,110000,97200,512903,53031474400,7518960000000,70800000
000990,DB하이텍,KOSPI,,44400,-700,-1.55,45150,45150,44150,434615,19316472800,1975737166000,44398588
139130,DGB금융지주,KOSPI,,9300,230,2.54,9140,9380,9070,1399304,12954859620,1574747705230,169145833
060900,DGP,KOSDAQ,중견기업부,1557,-49,-3.05,1607,1649,1557,229068,362453665,39428095469,25258229
290120,DH오토리드,KOSDAQ,우량기업부,3290,-65,-1.94,3380,3380,3200,35204,114618410,50579349880,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,1936,-17,-0.87,1993,2000,1899,53130,103304052,59592449664,30781224
001530,DI동일,KOSPI,,26300,150,0.57,25950,26400,25950,48609,1269972850,648152446600,24738643
000210,DL,KOSPI,,45750,0,0.0,45000,46300,45000,54878,2512681300,967114046600,20955884
000215,DL우,KOSPI,,25600,-50,-0.19,25650,25650,25350,310,7916950,43080238250,1686115
375500,DL이앤씨,KOSPI,,35000,800,2.34,34450,35500,34050,260644,9108818450,1358146167300,38693623
37550L,DL이앤씨2우(전환),KOSPI,,24500,400,1.66,24000,24550,24000,3150,76289050,51742799500,2111951
37550K,DL이앤씨우,KOSPI,,18460,350,1.93,18600,18600,17900,1739,31752700,39001178250,2113885
068790,DMS,KOSDAQ,우량기업부,6680,-120,-1.76,6840,6850,6630,143083,957668210,163902316870,24573061
007340,DN오토모티브,KOSPI,,78800,-1400,-1.75,79800,80600,77900,29904,2361422300,791525196000,9994005
004840,DRB동일,KOSPI,,6450,100,1.57,6360,6570,6330,135855,877472560,129744300000,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,4660,35,0.76,4640,4690,4455,1464951,6689786805,130018309025,27811403
155660,DSR,KOSPI,,4305,0,0.0,4305,4305,4265,12048,51575475,68720000000,16000000
069730,DSR제강,KOSPI,,4140,5,0.12,4145,4155,4115,14760,61124455,59616000000,14400000
017860,DS단석,KOSPI,,161700,3400,2.15,158100,167000,156200,80303,13064598400,947202886400,5861404
180400,DXVX,KOSDAQ,중견기업부,4005,50,1.26,3950,4040,3800,87066,342233160,120575533680,30219432
017940,E1,KOSPI,,69300,800,1.17,68500,70000,67900,35587,2451840900,474026000000,6860000
245620,EDGC,KOSDAQ,기술성장기업부,528,-16,-2.94,544,579,525,2206951,1197248861,64176948333,120860543
037370,EG,KOSDAQ,중견기업부,9790,20,0.2,9900,9900,9700,37250,363261260,84265976440,8624972
278990,EMB,KONEX,일반기업부,10900,-100,-0.91,11000,11000,10490,2379,25307650,52337232900,4801581
365550,ESR켄달스퀘어리츠,KOSPI,,4215,5,0.12,4180,4230,4180,251036,1055781295,898170135000,213089000
050120,ES큐브,KOSDAQ,벤처기업부,2615,-65,-2.43,2680,2690,2600,42117,110883980,35537905320,13564086
383220,F&F,KOSPI,,67800,-400,-0.59,68600,69500,67800,110281,7541812100,2612542515000,38307075
007700,F&F홀딩스,KOSPI,,15610,120,0.77,15410,15620,15410,15748,244651200,610184125200,39114367
214270,FSN,KOSDAQ,중견기업부,2825,-50,-1.74,2840,2875,2815,329628,934423210,94098810290,33250463
130500,GH신소재,KOSDAQ,중견기업부,2750,5,0.18,2740,2765,2730,14799,40652620,40144343520,14545052
