종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2510,-20,-0.79,2535,2565,2495,490827,1234689315,128733297840,51084642
095570,AJ네트웍스,KOSPI,,4325,-80,-1.82,4380,4490,4290,172849,751052800,195265655085,45252759
006840,AK홀딩스,KOSPI,,14110,-170,-1.19,14270,14270,14080,4346,61481570,186923085710,13247561
054620,APS,KOSDAQ,중견기업부,6870,-180,-2.55,7140,7160,6710,128953,889704420,137668009320,19894221
265520,AP시스템,KOSDAQ,우량기업부,25000,-300,-1.19,25550,25550,24800,155993,3904242600,382799596050,15281421
211270,AP위성,KOSDAQ,벤처기업부,13710,-430,-3.04,14140,14300,13600,154612,2130587930,206929210880,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,647,3,0.47,645,650,639,71728,46159685,73400487667,114153169
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3475,-65,-1.84,3550,3550,3460,95392,332253370,331658680815,95716791
282330,BGF리테일,KOSPI,,104000,-2400,-2.26,107200,107200,103100,34281,3582426000,1797526224000,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4125,-20,-0.48,4125,4190,4075,90964,373045185,221536427500,54033275
138930,BNK금융지주,KOSPI,,8630,100,1.17,8600,8770,8510,1114788,9641495180,2779623219940,322088438
001460,BYC,KOSPI,,34800,-600,-1.69,34900,35100,34650,1681,58523500,217053712500,6246150
001465,BYC우,KOSPI,,15130,-160,-1.05,15150,15280,15100,1876,28409950,32523135000,2153850
013720,CBI,KOSDAQ,중견기업부,1190,-10,-0.83,1180,1236,1179,79868,95104879,53018225568,44628136
083790,CG인바이츠,KOSDAQ,벤처기업부,3025,180,6.33,2890,3050,2800,546615,1614432680,231835958730,76894182
001040,CJ,KOSPI,,117000,-1700,-1.43,119400,119400,114600,100173,11658615000,3422461865400,29176998
079160,CJ CGV,KOSPI,,5560,0,0.0,5620,5620,5540,178369,993698980,922277542070,165579451
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,78400,-4700,-5.66,82400,83100,76300,242182,18956771300,1721438589000,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,12160,-260,-2.09,12410,12410,12010,13620,164717000,110170149180,9112502
00104K,CJ4우(전환),KOSPI,,84100,-100,-0.12,84200,84200,81400,16089,1327221900,353759054400,4226512
000120,CJ대한통운,KOSPI,,94300,1600,1.73,93200,95300,92100,77241,7264254700,2148922804800,22812344
