종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2480,25,1.02,2455,2535,2425,359275,889551575,126945335370,51084642
095570,AJ네트웍스,KOSPI,,4775,-60,-1.24,4865,4885,4750,199876,958400915,216308188020,45252759
006840,AK홀딩스,KOSPI,,14880,-120,-0.8,14990,15170,14870,9412,141013920,198051036950,13247561
054620,APS,KOSDAQ,중견기업부,6980,100,1.45,6750,7080,6730,60124,417461430,140055315840,19894221
265520,AP시스템,KOSDAQ,우량기업부,28750,2400,9.11,26700,29550,26350,1474981,41869048600,437048640600,15281421
211270,AP위성,KOSDAQ,벤처기업부,18550,300,1.64,18100,18690,17790,395638,7243962340,279475093120,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,592,-1,-0.17,608,608,584,223353,132456828,67463995116,114152276
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3670,-25,-0.68,3690,3700,3650,88822,325660140,350323455060,95716791
282330,BGF리테일,KOSPI,,118500,1500,1.28,116600,118900,116100,36354,4293992300,2051599642200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4095,-30,-0.73,4145,4170,4075,35071,143440175,221266261125,54033275
138930,BNK금융지주,KOSPI,,8450,-60,-0.71,8450,8540,8410,588724,4976861590,2731309954240,322088438
001460,BYC,KOSPI,,39100,2450,6.68,36800,44300,36150,19641,796389900,240789082500,6246150
001465,BYC우,KOSPI,,15570,310,2.03,15190,15700,15160,8258,127549760,33169290000,2153850
013720,CBI,KOSDAQ,중견기업부,1401,-39,-2.71,1440,1470,1390,371513,523332043,62160502560,43867680
083790,CG인바이츠,KOSDAQ,벤처기업부,2550,-70,-2.67,2640,2640,2530,169175,435103815,198386989560,76894182
001040,CJ,KOSPI,,137200,-600,-0.44,137900,138900,135500,118082,16165015300,4011837225000,29176998
079160,CJ CGV,KOSPI,,5640,10,0.18,5630,5700,5590,253359,1429741230,690518126880,122432292
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,85000,-1100,-1.28,85900,86500,84400,52368,4469578300,1872749751600,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,13720,-260,-1.86,14040,14040,13670,26225,361521960,125205777480,9112502
00104K,CJ4우(전환),KOSPI,,96000,0,0.0,95600,96000,94000,9441,896620100,401518640000,4226512
000120,CJ대한통운,KOSPI,,110500,600,0.55,109600,112200,109500,49947,5545839400,2525326480800,22812344
011150,CJ씨푸드,KOSPI,,4155,-55,-1.31,4200,4200,4065,1038335,4265838585,147316169300,35930773
011155,CJ씨푸드1우,KOSPI,,22450,100,0.45,22350,22900,21900,518,11487000,4500000000,200000
001045,CJ우,KOSPI,,64100,-300,-0.47,64400,65000,63400,2626,168777900,143976205100,2260223
097950,CJ제일제당,KOSPI,,346500,-7500,-2.12,351000,354000,345000,45654,15896454000,5216275449000,15054186
097955,CJ제일제당 우,KOSPI,,151900,-900,-0.59,153100,153900,151500,1889,287509400,201371586100,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23150,-600,-2.53,23800,23800,23050,27543,640665950,274827215900,11871586
058820,CMG제약,KOSDAQ,우량기업부,2090,0,0.0,2095,2095,2075,245404,510639250,290284789960,138892244
023460,CNH,KOSDAQ,중견기업부,1730,-29,-1.65,1752,1764,1678,34837,59083848,64356000000,37200000
056730,CNT85,KOSDAQ,중견기업부,1030,-9,-0.87,1038,1038,1020,32338,33137258,76927411068,74111186
000480,CR홀딩스,KOSPI,,6190,-10,-0.16,6210,6280,6150,15030,93241540,291189942900,46890490
065770,CS,KOSDAQ,벤처기업부,1334,-26,-1.91,1360,1360,1324,34824,46804986,26205025500,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1330,-8,-0.6,1369,1369,1307,63824,84959238,81887480997,61247181
000590,CS홀딩스,KOSPI,,66600,-100,-0.15,66800,66800,66200,2077,138073100,76888501200,1154482
012030,DB,KOSPI,,1375,-10,-0.72,1390,1393,1369,344422,474141944,277620027540,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2215,-5,-0.23,2220,2220,2205,716,1580430,11719575000,5315000
016610,DB금융투자,KOSPI,,4320,-40,-0.92,4360,4360,4260,33058,142453755,184005096315,42446389
005830,DB손해보험,KOSPI,,99200,-1300,-1.29,99900,101000,98700,164898,16421248600,7037520000000,70800000
000990,DB하이텍,KOSPI,,44700,800,1.82,44350,46150,43750,645744,29139195100,1986836813000,44398588
139130,DGB금융지주,KOSPI,,8280,-70,-0.84,8320,8370,8230,520138,4310241660,1402218955570,169145833
060900,DGP,KOSDAQ,중견기업부,1387,-12,-0.86,1403,1408,1378,22414,31133847,35033163623,25258229
290120,DH오토리드,KOSDAQ,우량기업부,3035,35,1.17,3000,3040,2920,19601,58695560,46778141070,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,452,1,0.22,451,454,439,168935,74749920,69719472360,153906120
001530,DI동일,KOSPI,,24350,-400,-1.62,24600,24850,24350,47618,1167713450,615262396800,25215672
000210,DL,KOSPI,,60300,1100,1.86,59100,61900,59100,186880,11352480200,1259448628400,20955884
000215,DL우,KOSPI,,30200,100,0.33,30100,30400,29800,1658,50000250,50583450000,1686115
375500,DL이앤씨,KOSPI,,34000,400,1.19,33400,34350,33400,68555,2338686300,1319452544300,38693623
37550L,DL이앤씨2우(전환),KOSPI,,24000,250,1.05,23750,24000,23600,2611,61914800,50158836250,2111951
37550K,DL이앤씨우,KOSPI,,17980,20,0.11,18200,18240,17800,1392,25056780,37838541500,2113885
068790,DMS,KOSDAQ,우량기업부,6780,260,3.99,6560,6780,6500,164107,1098039130,165868161750,24573061
007340,DN오토모티브,KOSPI,,79500,-500,-0.63,80500,80500,79200,7896,630119600,794523397500,9994005
004840,DRB동일,KOSPI,,5440,-40,-0.73,5580,5580,5420,17038,93092930,109017100000,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,3700,-40,-1.07,3715,3740,3685,57610,213157385,101873143125,27496125
155660,DSR,KOSPI,,4290,-20,-0.46,4310,4310,4285,4913,21122340,68640000000,16000000
069730,DSR제강,KOSPI,,4200,0,0.0,4200,4205,4150,6314,26436530,60552000000,14400000
017860,DS단석,KOSPI,,109300,-2100,-1.89,111300,111300,105300,37817,4115752300,640651457200,5861404
180400,DXVX,KOSDAQ,중견기업부,4080,30,0.74,4050,4225,4050,28767,118378175,123597476880,30219432
017940,E1,KOSPI,,73900,-200,-0.27,75100,75800,73500,15068,1121306800,507640000000,6860000
245620,EDGC,KOSDAQ,관리종목(소속부없음),415,0,0.0,0,0,0,0,0,57474989665,138493951
037370,EG,KOSDAQ,중견기업부,9000,190,2.16,8700,9110,8380,103469,904705560,77538498280,8624972
278990,EMB,KONEX,일반기업부,10000,0,0.0,10000,10000,10000,101,1010000,48015810000,4801581
