종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2975,25,0.85,2950,3015,2925,724355,2151940000,143911143530,48536642
095570,AJ네트웍스,KOSPI,,4850,-15,-0.31,4870,4970,4830,97951,476851540,220607200125,45252759
006840,AK홀딩스,KOSPI,,15110,10,0.07,15300,15300,14810,9268,138845250,200170646710,13247561
054620,APS,KOSDAQ,중견기업부,7750,-150,-1.9,7910,7950,7720,48433,378754860,158667039380,20394221
265520,AP시스템,KOSDAQ,우량기업부,21850,-450,-2.02,22350,22350,21800,101486,2238837950,335427190950,15281421
211270,AP위성,KOSDAQ,벤처기업부,18290,210,1.16,18010,18900,17840,1160465,21423857790,276006163200,15082304
139050,BF랩스,KOSDAQ,벤처기업부,4630,140,3.12,4620,5020,4555,191052,905314725,39937825620,8644551
027410,BGF,KOSPI,,3800,60,1.6,3750,3830,3745,58004,219279070,363723805800,95716791
282330,BGF리테일,KOSPI,,121900,4200,3.57,118500,121900,117700,64154,7723399900,2103451360200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4230,40,0.95,4165,4265,4130,81230,341690705,229101086000,54033275
138930,BNK금융지주,KOSPI,,7810,40,0.51,7840,7860,7740,642666,5010137480,2509068932020,322088438
001460,BYC,KOSPI,,491000,-1000,-0.2,495000,496000,491000,275,135487500,306685965000,624615
001465,BYC우,KOSPI,,194900,1200,0.62,195000,196000,194700,1783,348323100,42043152000,215385
013720,CBI,KOSDAQ,중견기업부,1633,26,1.62,1620,1660,1615,203127,331010993,69948229004,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3730,-20,-0.53,3790,3800,3655,144244,536485390,286430827950,76894182
001040,CJ,KOSPI,,128400,-1400,-1.08,128300,132000,122100,465543,59787653800,3746326543200,29176998
079160,CJ CGV,KOSPI,,5600,60,1.08,5550,5640,5500,342347,1905930750,685619155200,122431992
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,86000,3000,3.61,83400,86800,81200,249539,21187924400,1890293074800,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,16130,170,1.07,15970,16250,15900,7884,126990700,145800032000,9112502
00104K,CJ4우(전환),KOSPI,,88700,-2300,-2.53,90600,90600,87500,36250,3228957200,376582219200,4226512
000120,CJ대한통운,KOSPI,,119100,4200,3.66,115900,119600,115600,85422,10083656900,2707825232800,22812344
011150,CJ씨푸드,KOSPI,,2730,30,1.11,2700,2745,2685,91341,248397085,98091010290,35930773
011155,CJ씨푸드1우,KOSPI,,20600,0,0.0,20600,20600,20250,103,2092500,4060000000,200000
001045,CJ우,KOSPI,,62800,-700,-1.1,63400,64000,62200,17253,1090491500,142394049000,2260223
097950,CJ제일제당,KOSPI,,311000,17000,5.78,295000,315000,292500,85960,26437599500,4681851846000,15054186
097955,CJ제일제당 우,KOSPI,,141900,3900,2.83,138000,143000,138000,4296,606905200,188495486000,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23800,300,1.28,23200,23850,23100,25731,607808700,282543746800,11871586
