종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,3290,405,14.04,2910,3350,2835,20726949,66389710155,159685552180,48536642
095570,AJ네트웍스,KOSPI,,4715,295,6.67,4500,4970,4380,955183,4535231275,213366758685,45252759
006840,AK홀딩스,KOSPI,,15560,-40,-0.26,15600,15600,15460,5055,78419160,206132049160,13247561
054620,APS,KOSDAQ,중견기업부,7290,-20,-0.27,7420,7530,7200,66118,484244260,148673871090,20394221
265520,AP시스템,KOSDAQ,우량기업부,20800,0,0.0,20750,21000,20600,41427,861975600,317853556800,15281421
211270,AP위성,KOSDAQ,벤처기업부,15910,-210,-1.3,16120,16310,15860,245191,3925371350,239959456640,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7540,-190,-2.46,7700,7840,7500,89787,689432120,65179914540,8644551
027410,BGF,KOSPI,,3810,-45,-1.17,3860,3860,3805,95565,365157565,364680973710,95716791
282330,BGF리테일,KOSPI,,119300,-1800,-1.49,121300,121700,119300,65828,7918912100,2061969985800,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4395,-30,-0.68,4435,4435,4375,40216,176693135,237476243625,54033275
138930,BNK금융지주,KOSPI,,8030,-220,-2.67,8250,8260,7880,1387229,11132494360,2586370157140,322088438
001460,BYC,KOSPI,,493500,15500,3.24,478500,495000,478000,253,123098000,308247502500,624615
001465,BYC우,KOSPI,,183800,4000,2.22,180600,184300,180600,620,113584000,39587763000,215385
013720,CBI,KOSDAQ,중견기업부,1650,-88,-5.06,1720,1737,1650,947512,1585367958,70676410200,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,4100,720,21.3,3500,4385,3460,5559464,22850293620,315266146200,76894182
001040,CJ,KOSPI,,112300,3100,2.84,113000,115000,109200,451168,50569104000,3276576875400,29176998
079160,CJ CGV,KOSPI,,5620,-50,-0.88,5670,5740,5610,361021,2038040740,688067171220,122431881
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,77700,1400,1.83,76000,78500,75900,59506,4609828800,1703895265800,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14670,20,0.14,14630,14870,14520,10427,153575830,133680404340,9112502
00104K,CJ4우(전환),KOSPI,,83500,1400,1.71,82100,84000,80800,34019,2797360800,352913752000,4226512
000120,CJ대한통운,KOSPI,,127900,3300,2.65,125800,131900,125000,90011,11563303800,2917698797600,22812344
011150,CJ씨푸드,KOSPI,,2695,0,0.0,2690,2700,2660,68724,184479790,96833433235,35930773
011155,CJ씨푸드1우,KOSPI,,20650,700,3.51,19880,20700,19880,134,2750590,4130000000,200000
001045,CJ우,KOSPI,,60800,1000,1.67,60000,61300,59700,6652,402049100,137421558400,2260223
