종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2905,-25,-0.85,2930,2970,2905,683960,2010062845,141726994640,48536642
095570,AJ네트웍스,KOSPI,,4930,105,2.18,4825,4930,4790,144038,702730510,222191046690,45252759
006840,AK홀딩스,KOSPI,,15540,-160,-1.02,15660,15750,15520,5769,90060510,205867097940,13247561
054620,APS,KOSDAQ,중견기업부,7680,-110,-1.41,7820,7960,7660,85615,668205200,156627617280,20394221
265520,AP시스템,KOSDAQ,우량기업부,20650,-300,-1.43,20950,21300,20600,60177,1251872050,316325414700,15281421
211270,AP위성,KOSDAQ,벤처기업부,16360,-240,-1.45,16540,16780,16320,187116,3089511470,246746493440,15082304
139050,BF랩스,KOSDAQ,벤처기업부,5990,-250,-4.01,6270,6380,5900,99862,616809740,51953751510,8644551
027410,BGF,KOSPI,,3960,20,0.51,3960,3990,3900,157110,618830695,378081324450,95716791
282330,BGF리테일,KOSPI,,117000,-1600,-1.35,118100,118100,116700,36113,4233524300,2023945392600,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4370,-30,-0.68,4400,4420,4295,98780,428303605,236125411750,54033275
138930,BNK금융지주,KOSPI,,8140,-160,-1.93,8270,8290,8120,771979,6321070160,2644346075980,322088438
001460,BYC,KOSPI,,488500,-5500,-1.11,491000,495000,482000,399,195430500,306998272500,624615
001465,BYC우,KOSPI,,195000,14700,8.15,180300,195000,178400,1190,225601100,40729303500,215385
013720,CBI,KOSDAQ,중견기업부,1644,-61,-3.58,1727,1750,1600,386015,641952572,70505073448,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3890,110,2.91,3815,4050,3780,505717,1993230950,298733897070,76894182
001040,CJ,KOSPI,,113500,-6500,-5.42,121100,121300,112100,218239,25008505000,3302836173600,29176998
079160,CJ CGV,KOSPI,,5650,-50,-0.88,5710,5750,5620,291242,1652864060,692964446460,122431881
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,75300,-500,-0.66,76600,77500,74700,52112,3954944700,1655651127000,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,15680,630,4.19,15050,15760,15000,32935,512009290,142337281240,9112502
00104K,CJ4우(전환),KOSPI,,84400,-3600,-4.09,88000,88000,82500,10707,898931300,357985566400,4226512
000120,CJ대한통운,KOSPI,,116700,-1500,-1.27,117300,118200,113700,148681,17243781200,2669044248000,22812344
011150,CJ씨푸드,KOSPI,,2725,10,0.37,2710,2730,2705,63551,172603740,98091010290,35930773
011155,CJ씨푸드1우,KOSPI,,20300,250,1.25,20250,20300,19880,107,2135980,4000000000,200000
001045,CJ우,KOSPI,,60800,-1000,-1.62,62700,62700,60000,8225,500789500,136969513800,2260223
097950,CJ제일제당,KOSPI,,291000,1500,0.52,290000,292500,288000,19701,5718663500,4388295219000,15054186
097955,CJ제일제당 우,KOSPI,,140800,1500,1.08,139300,141400,138700,7127,996150000,187168053000,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23650,-200,-0.84,23850,23950,23400,26364,620979800,278388691700,11871586
058820,CMG제약,KOSDAQ,중견기업부,2265,30,1.34,2245,2290,2225,599631,1356536450,314590932660,138892244
023460,CNH,KOSDAQ,중견기업부,1785,-5,-0.28,1770,1786,1761,5054,8979469,66402000000,37200000
056730,CNT85,KOSDAQ,중견기업부,1193,9,0.76,1184,1196,1182,11455,13608083,88488756084,74111186
000480,CR홀딩스,KOSPI,,6180,10,0.16,6170,6190,6130,20098,123670880,289783228200,46890490
065770,CS,KOSDAQ,벤처기업부,1270,24,1.93,1246,1270,1225,89491,112259923,24652135100,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1243,-8,-0.64,1242,1252,1226,23391,28954757,76130245983,61247181
000590,CS홀딩스,KOSPI,,65700,0,0.0,65700,66000,65500,582,38267800,75849467400,1154482
012030,DB,KOSPI,,1555,-7,-0.45,1571,1580,1547,323735,502802527,312423117949,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2260,5,0.22,2280,2280,2235,27145,61316060,12038475000,5315000
016610,DB금융투자,KOSPI,,4535,-10,-0.22,4545,4575,4490,35473,160658510,192494374115,42446389
005830,DB손해보험,KOSPI,,104500,900,0.87,104600,107800,102100,210499,21925865500,7384440000000,70800000
000990,DB하이텍,KOSPI,,44300,-1150,-2.53,45600,45650,44250,210951,9438376750,1969077377800,44398588
139130,DGB금융지주,KOSPI,,8860,-90,-1.01,8930,8940,8820,500213,4434491510,1503706455370,169145833
060900,DGP,KOSDAQ,중견기업부,1608,-18,-1.11,1626,1633,1600,103224,166920213,40564715774,25258229
290120,DH오토리드,KOSDAQ,우량기업부,3150,-40,-1.25,3175,3190,3110,29793,93212290,48562381940,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,2200,40,1.85,2120,2250,2050,81114,173773070,67564786680,30781224
001530,DI동일,KOSPI,,26800,-50,-0.19,26700,27000,26500,48461,1294265050,662995632400,24738643
