종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2505,-50,-1.96,2580,2580,2505,447226,1133452320,128222451420,51084642
095570,AJ네트웍스,KOSPI,,4375,20,0.46,4375,4450,4360,109618,483129795,198207084420,45252759
006840,AK홀딩스,KOSPI,,14020,-90,-0.64,14110,14150,14020,6026,84835910,186790610100,13247561
054620,APS,KOSDAQ,중견기업부,6840,-90,-1.3,6870,7050,6790,44512,307920330,137071182690,19894221
265520,AP시스템,KOSDAQ,우량기업부,25050,-500,-1.96,25650,25800,25000,133740,3393406600,383563667100,15281421
211270,AP위성,KOSDAQ,벤처기업부,13780,-120,-0.86,13910,14050,13780,74328,1029649480,207834149120,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,684,33,5.07,722,722,655,822610,564393020,77281695413,114153169
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3495,35,1.01,3460,3505,3460,28515,99286500,334530184545,95716791
282330,BGF리테일,KOSPI,,99900,-1600,-1.58,101500,101700,99000,132090,13245365100,1724933818800,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4100,-5,-0.12,4135,4145,4090,47072,193522290,221536427500,54033275
138930,BNK금융지주,KOSPI,,8800,10,0.11,8800,9000,8760,1337616,11889923070,2840820023160,322088438
001460,BYC,KOSPI,,34850,300,0.87,34550,34900,34050,1018,35182500,216116790000,6246150
001465,BYC우,KOSPI,,15000,-10,-0.07,15130,15130,14950,608,9125410,32200057500,2153850
013720,CBI,KOSDAQ,중견기업부,1205,-92,-7.09,1298,1298,1205,837208,1040511572,53776903880,44628136
083790,CG인바이츠,KOSDAQ,벤처기업부,3005,70,2.39,2965,3075,2905,228535,686129970,231451487820,76894182
001040,CJ,KOSPI,,111700,5300,4.98,107700,115700,107000,306635,34585152100,3261988376400,29176998
079160,CJ CGV,KOSPI,,5500,-40,-0.72,5550,5580,5500,359377,1985028290,913998569520,165579451
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,70100,1000,1.45,69100,71700,69000,212915,15004209200,1539426610800,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,12340,110,0.9,12200,12350,12100,5909,72236160,112448274680,9112502
00104K,CJ4우(전환),KOSPI,,80500,3800,4.95,78800,81700,77700,15135,1217019300,340656867200,4226512
000120,CJ대한통운,KOSPI,,93400,-1300,-1.37,95000,95600,92100,57010,5351419800,2135235398400,22812344
011150,CJ씨푸드,KOSPI,,4475,-75,-1.65,4555,4615,4460,950411,4303411495,160790209175,35930773
011155,CJ씨푸드1우,KOSPI,,21550,50,0.23,21350,21750,21350,621,13280900,4300000000,200000
001045,CJ우,KOSPI,,58300,1800,3.19,57600,59300,56600,5218,304969800,132449067800,2260223
097950,CJ제일제당,KOSPI,,364000,-1500,-0.41,366500,369000,360000,42466,15451043500,5479723704000,15054186
097955,CJ제일제당 우,KOSPI,,146900,400,0.27,147400,149000,146300,3456,508454900,194999907700,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,20150,0,0.0,20200,20300,20000,17634,355215000,239212457900,11871586
058820,CMG제약,KOSDAQ,우량기업부,2150,30,1.42,2135,2170,2115,365396,783328705,300007247040,138892244
023460,CNH,KOSDAQ,중견기업부,2300,215,10.31,2085,2625,2020,717602,1693122025,84258000000,37200000
056730,CNT85,KOSDAQ,중견기업부,888,2,0.23,931,931,870,36384,32308011,65810733168,74111186
000480,CR홀딩스,KOSPI,,6220,60,0.97,6180,6230,6160,15859,98261530,290721038000,46890490
065770,CS,KOSDAQ,벤처기업부,1195,2,0.17,1182,1197,1181,21385,25458779,23196300350,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1160,1,0.09,1179,1180,1120,16855,19380550,70924235598,61247181
000590,CS홀딩스,KOSPI,,69700,-100,-0.14,70000,70000,68600,754,52496700,80351947200,1154482
012030,DB,KOSPI,,1323,-12,-0.9,1335,1375,1320,477117,638167094,266153113359,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2280,55,2.47,2250,2300,2230,18607,42285990,12144775000,5315000
477760,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),2085,0,0.0,2080,2095,2075,46346,96816660,12205600000,5840000
016610,DB금융투자,KOSPI,,4490,10,0.22,4520,4530,4455,55835,250382350,189947590775,42446389
005830,DB손해보험,KOSPI,,115500,1000,0.87,115200,119000,114600,132545,15457225400,8234040000000,70800000
000990,DB하이텍,KOSPI,,50900,-1100,-2.12,51600,51800,50100,665028,33921899800,2259888129200,44398588
139130,DGB금융지주,KOSPI,,8120,-90,-1.1,8210,8290,8120,678965,5567578790,1378538538950,169145833
060900,DGP,KOSDAQ,중견기업부,1180,-17,-1.42,1188,1204,1173,17906,21095875,29829968449,25258229
290120,DH오토리드,KOSDAQ,우량기업부,2995,35,1.18,2975,3005,2955,4072,12113740,46312686930,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,400,1,0.25,400,403,398,50726,20327584,61562448000,153906120
001530,DI동일,KOSPI,,26800,-200,-0.74,27000,27600,26050,118858,3158326150,678301576800,25215672
000210,DL,KOSPI,,56400,100,0.18,56600,57000,56000,53316,3009609400,1186103034400,20955884
000215,DL우,KOSPI,,26800,-700,-2.55,27600,27800,26750,4377,118908050,45693716500,1686115
375500,DL이앤씨,KOSPI,,31550,-50,-0.16,31450,32050,31450,110030,3489644300,1224653167950,38693623
37550L,DL이앤씨2우(전환),KOSPI,,22100,0,0.0,22700,22700,22100,1321,29245400,46674117100,2111951
37550K,DL이앤씨우,KOSPI,,17200,20,0.12,17200,17400,17130,5701,98243040,36506793950,2113885
068790,DMS,KOSDAQ,우량기업부,6220,-40,-0.64,6220,6310,6200,81727,508358220,152844439420,24573061
007340,DN오토모티브,KOSPI,,78900,-700,-0.88,79300,79800,78900,13305,1051679100,788526994500,9994005
004840,DRB동일,KOSPI,,5200,-50,-0.95,5310,5310,5180,21048,109854950,103636000000,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,3190,55,1.75,3160,3190,3095,111780,350643905,87712638750,27496125
155660,DSR,KOSPI,,4295,-15,-0.35,4295,4310,4250,8803,37617370,68560000000,16000000
069730,DSR제강,KOSPI,,4280,-85,-1.95,4350,4350,4265,32506,139316670,61992000000,14400000
017860,DS단석,KOSPI,,115800,-7700,-6.23,123500,125200,115800,104608,12544244300,681681285200,5861404
180400,DXVX,KOSDAQ,중견기업부,2025,-350,-14.74,2360,2385,1988,1336075,2819811938,61949835600,30219432
017940,E1,KOSPI,,73500,-600,-0.81,74200,75300,72900,14284,1053441100,501466000000,6860000
245620,EDGC,KOSDAQ,관리종목(소속부없음),415,0,0.0,0,0,0,0,0,57474989665,138493951
037370,EG,KOSDAQ,중견기업부,7620,140,1.87,7500,7650,7490,19087,144425270,65549787200,8624972
278990,EMB,KONEX,일반기업부,9360,-40,-0.43,9400,9400,9360,26,243520,44942798160,4801581
365550,ESR켄달스퀘어리츠,KOSPI,,4675,-80,-1.68,4765,4765,4650,173212,811165725,992994740000,213089000
