종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2950,70,2.43,2885,3050,2815,1740800,5120005870,142940410690,48536642
095570,AJ네트웍스,KOSPI,,4865,-255,-4.98,5140,5140,4860,199789,989854230,222417310485,45252759
006840,AK홀딩스,KOSPI,,15100,-460,-2.96,15600,15600,14810,21353,321815150,199773219880,13247561
054620,APS,KOSDAQ,중견기업부,7900,90,1.15,7790,7950,7760,52255,411162880,160298577060,20394221
265520,AP시스템,KOSDAQ,우량기업부,22300,650,3.0,21800,22300,21700,167547,3697119900,340775688300,15281421
211270,AP위성,KOSDAQ,벤처기업부,18080,810,4.69,17400,18300,17230,1753378,31436087420,272989702400,15082304
139050,BF랩스,KOSDAQ,벤처기업부,4490,-950,-17.46,5350,5460,4340,383317,1882244400,39548820825,8644551
027410,BGF,KOSPI,,3740,-55,-1.45,3795,3815,3730,101019,380005100,357980798340,95716791
282330,BGF리테일,KOSPI,,117700,700,0.6,117600,118700,117000,60248,7077338200,2042957689200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4190,-105,-2.44,4255,4280,4150,118833,500208570,226939755000,54033275
138930,BNK금융지주,KOSPI,,7770,-210,-2.63,8020,8020,7770,873454,6837197470,2512289816400,322088438
001460,BYC,KOSPI,,492000,4500,0.92,493000,494500,489000,82,40312000,306685965000,624615
001465,BYC우,KOSPI,,193700,4200,2.22,189000,194000,189000,1334,257584300,41784690000,215385
013720,CBI,KOSDAQ,중견기업부,1607,-44,-2.67,1651,1666,1584,338739,545307391,69134379432,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3750,125,3.45,3615,3835,3610,245774,915485915,287199769770,76894182
001040,CJ,KOSPI,,129800,7600,6.22,125000,132800,123900,620470,79797125900,3795927439800,29176998
079160,CJ CGV,KOSPI,,5540,-20,-0.36,5560,5600,5530,330721,1835643390,678273235680,122431992
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,83000,4700,6.0,79100,83500,78700,199119,16272636000,1809155205000,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,15960,60,0.38,15900,16310,15600,22214,355643410,145526656940,9112502
