종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2885,95,3.41,2770,2885,2755,853781,2430216235,140028212170,48536642
095570,AJ네트웍스,KOSPI,,4420,-90,-2.0,4575,4580,4420,195545,873715370,204994998270,45252759
006840,AK홀딩스,KOSPI,,15600,-160,-1.02,15990,15990,15500,5721,89354490,206661951600,13247561
054620,APS,KOSDAQ,중견기업부,7310,230,3.25,7100,7410,7000,72003,516767040,149081755510,20394221
265520,AP시스템,KOSDAQ,우량기업부,20800,-500,-2.35,21250,21250,20750,61349,1282416250,318617627850,15281421
211270,AP위성,KOSDAQ,벤처기업부,16120,-710,-4.22,16660,16700,16000,330597,5349200200,243126740480,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7730,510,7.06,7460,7900,7220,202220,1555919610,66822379230,8644551
027410,BGF,KOSPI,,3855,-80,-2.03,3935,3950,3850,507746,1962008570,372338316990,95716791
282330,BGF리테일,KOSPI,,121100,-2300,-1.86,123400,123700,120600,121916,14779573700,2099994579000,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4425,-55,-1.23,4440,4475,4350,111524,489849190,238827075500,54033275
138930,BNK금융지주,KOSPI,,8250,-90,-1.08,8250,8410,8190,2933504,24295025640,2682996688540,322088438
001460,BYC,KOSPI,,478000,-1500,-0.31,473000,482500,473000,146,69880500,298878277500,624615
001465,BYC우,KOSPI,,179800,100,0.06,178000,180000,178000,187,33508200,38553915000,215385
013720,CBI,KOSDAQ,중견기업부,1738,-108,-5.85,1832,1840,1680,1375878,2424224397,74274481992,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3380,280,9.03,3100,3380,3020,388019,1254202450,253750800600,76894182
001040,CJ,KOSPI,,109200,13400,13.99,96500,109200,95900,686980,71562560500,3174457382400,29176998
079160,CJ CGV,KOSPI,,5670,-60,-1.05,5720,5730,5630,530571,3006862660,694188765270,122431881
