종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2950,-25,-0.84,2965,2980,2905,789687,2317240170,142940410690,48536642
095570,AJ네트웍스,KOSPI,,4925,75,1.55,4890,4970,4745,132104,641348130,222191046690,45252759
006840,AK홀딩스,KOSPI,,15020,-90,-0.6,15210,15210,14980,4520,67917360,198978366220,13247561
054620,APS,KOSDAQ,중견기업부,7610,-140,-1.81,7700,7800,7510,52427,397359290,154588195180,20394221
265520,AP시스템,KOSDAQ,우량기업부,21950,100,0.46,21650,22300,21600,116684,2563229550,336191262000,15281421
211270,AP위성,KOSDAQ,벤처기업부,17770,-520,-2.84,18490,18500,17540,599676,10771906550,268465011200,15082304
139050,BF랩스,KOSDAQ,벤처기업부,4055,-575,-12.42,4645,4645,3625,374829,1533847500,35053654305,8644551
027410,BGF,KOSPI,,3720,-80,-2.11,3770,3790,3705,107047,399344395,356066462520,95716791
282330,BGF리테일,KOSPI,,121500,-400,-0.33,120600,122000,120000,63362,7674175100,2080982282400,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4165,-65,-1.54,4200,4260,4110,84499,350924025,224508257625,54033275
138930,BNK금융지주,KOSPI,,7720,-90,-1.15,7730,7830,7660,676923,5240745840,2486522741360,322088438
001460,BYC,KOSPI,,491000,0,0.0,491500,499500,487500,642,317185000,304499812500,624615
001465,BYC우,KOSPI,,202000,7100,3.64,196800,215500,195800,2164,449032900,43184692500,215385
013720,CBI,KOSDAQ,중견기업부,1596,-37,-2.27,1671,1671,1591,175628,282293081,68791705928,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3535,-195,-5.23,3740,3765,3525,245779,884709775,272974346100,76894182
001040,CJ,KOSPI,,123300,-5100,-3.97,128400,133800,121900,331190,41848806900,3580017654600,29176998
079160,CJ CGV,KOSPI,,5740,140,2.5,5630,5830,5600,1091000,6253822180,702759634080,122431992
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,79100,-6900,-8.02,85000,85000,78900,245220,19764406700,1745560658400,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,15690,-440,-2.73,16130,16130,15500,17052,267876650,142975156380,9112502
00104K,CJ4우(전환),KOSPI,,86200,-2500,-2.82,88000,90300,84800,32598,2816327600,364325334400,4226512
000120,CJ대한통운,KOSPI,,118000,-1100,-0.92,117700,118700,115700,59201,6955206900,2698700295200,22812344
011150,CJ씨푸드,KOSPI,,2695,-35,-1.28,2715,2760,2695,69021,186746000,96833433235,35930773
011155,CJ씨푸드1우,KOSPI,,20600,0,0.0,20600,20600,20150,213,4318450,4110000000,200000
001045,CJ우,KOSPI,,62400,-400,-0.64,62000,63600,62000,7222,454062700,140133826000,2260223
097950,CJ제일제당,KOSPI,,304500,-6500,-2.09,308000,308000,303500,23637,7222759500,4591526730000,15054186
097955,CJ제일제당 우,KOSPI,,139000,-2900,-2.04,141900,142700,139000,2715,380032100,184778673600,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23600,-200,-0.84,23800,23800,23500,11544,272629400,280169429600,11871586
058820,CMG제약,KOSDAQ,중견기업부,2250,-80,-3.43,2320,2325,2235,546102,1238137965,312507549000,138892244
023460,CNH,KOSDAQ,중견기업부,1796,1,0.06,1780,1830,1780,5072,9088456,66885600000,37200000
056730,CNT85,KOSDAQ,중견기업부,1246,13,1.05,1233,1251,1221,16964,21022817,92342537756,74111186
000480,CR홀딩스,KOSPI,,6070,-30,-0.49,6100,6100,6010,18929,114378690,282280749800,46890490
065770,CS,KOSDAQ,벤처기업부,1341,42,3.23,1309,1350,1306,159307,212430588,26010914200,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1249,-8,-0.64,1257,1270,1240,18569,23162283,76497729069,61247181
000590,CS홀딩스,KOSPI,,66000,100,0.15,65500,66000,65500,673,44299700,76195812000,1154482
012030,DB,KOSPI,,1550,-22,-1.4,1557,1575,1550,305257,475539314,312423117949,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2240,30,1.36,2250,2250,2215,4900,10887680,11879025000,5315000
016610,DB금융투자,KOSPI,,4175,-20,-0.48,4270,4270,4120,53418,222505955,176576978240,42446389
005830,DB손해보험,KOSPI,,95200,2000,2.15,92400,97100,92400,185058,17711311000,6754320000000,70800000
