종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2960,55,1.89,2935,3050,2870,1998328,5947685275,143668460320,48536642
095570,AJ네트웍스,KOSPI,,4880,-50,-1.01,4885,5000,4850,119400,584238465,221059727715,45252759
006840,AK홀딩스,KOSPI,,15500,-40,-0.26,15520,15660,15420,6300,97633060,205469671110,13247561
054620,APS,KOSDAQ,중견기업부,7680,0,0.0,7610,7790,7490,68225,519899100,156627617280,20394221
265520,AP시스템,KOSDAQ,우량기업부,20950,300,1.45,20700,21300,20650,102195,2143821050,320145769950,15281421
211270,AP위성,KOSDAQ,벤처기업부,16190,-170,-1.04,16380,16480,16170,143781,2340428720,244182501760,15082304
139050,BF랩스,KOSDAQ,벤처기업부,6070,80,1.34,6100,6190,5850,73831,443797130,52731761100,8644551
027410,BGF,KOSPI,,3860,-100,-2.53,3930,3950,3860,143484,558163135,369945397215,95716791
282330,BGF리테일,KOSPI,,118400,1400,1.2,117300,119800,116700,92893,10961109600,2051599642200,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4325,-45,-1.03,4345,4395,4315,85204,369742805,233693914375,54033275
138930,BNK금융지주,KOSPI,,8210,70,0.86,8250,8300,8170,865412,7130181610,2650787844740,322088438
001460,BYC,KOSPI,,494000,5500,1.13,486500,500000,484500,373,183697000,308559810000,624615
001465,BYC우,KOSPI,,188000,-7000,-3.59,194500,194500,188000,1191,228836900,40923150000,215385
013720,CBI,KOSDAQ,중견기업부,1599,-45,-2.74,1627,1693,1593,392416,632788955,68748871740,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3830,-60,-1.54,3890,4015,3755,565138,2186052690,294120246150,76894182
001040,CJ,KOSPI,,114600,1100,0.97,114500,115300,110500,193972,21896351100,3349519370400,29176998
079160,CJ CGV,KOSPI,,5680,30,0.53,5690,5700,5640,291735,1651875490,694188765270,122431881
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,81800,6500,8.63,75700,82300,75000,209715,16754471400,1793804797200,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,16240,560,3.57,15680,16440,15420,45111,722499790,147895907460,9112502
00104K,CJ4우(전환),KOSPI,,84200,-200,-0.24,84400,84500,82800,5053,423240000,356294961600,4226512
000120,CJ대한통운,KOSPI,,117100,400,0.34,116900,119100,116800,87265,10296578700,2666763013600,22812344
011150,CJ씨푸드,KOSPI,,2765,40,1.47,2755,2780,2735,165768,456110950,99348587345,35930773
011155,CJ씨푸드1우,KOSPI,,20300,0,0.0,20300,20400,20000,167,3365100,4000000000,200000
001045,CJ우,KOSPI,,61000,200,0.33,61500,61500,60400,2801,170283400,137873603000,2260223
097950,CJ제일제당,KOSPI,,295000,4000,1.37,293000,296500,291000,32148,9464565000,4425930684000,15054186
097955,CJ제일제당 우,KOSPI,,141400,600,0.43,140000,142200,140000,2907,410415500,187168053000,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23700,50,0.21,23700,23750,23400,18092,425779550,281356588200,11871586
058820,CMG제약,KOSDAQ,중견기업부,2265,0,0.0,2295,2305,2240,611127,1383815685,314590932660,138892244
023460,CNH,KOSDAQ,중견기업부,1785,0,0.0,1785,1787,1751,11759,20808499,66402000000,37200000
056730,CNT85,KOSDAQ,중견기업부,1209,16,1.34,1171,1209,1171,32154,38203958,88859312014,74111186
000480,CR홀딩스,KOSPI,,6110,-70,-1.13,6110,6180,6100,21489,131680410,288376513500,46890490
065770,CS,KOSDAQ,벤처기업부,1253,-17,-1.34,1258,1286,1247,80145,101287629,24322145890,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1247,4,0.32,1243,1250,1222,47181,58256434,76375234707,61247181
000590,CS홀딩스,KOSPI,,65700,0,0.0,65000,65700,65000,456,29835300,75849467400,1154482
012030,DB,KOSPI,,1553,-2,-0.13,1553,1561,1551,179440,279034815,312423117949,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2275,15,0.66,2260,2285,2250,11469,25968510,12091625000,5315000
016610,DB금융투자,KOSPI,,4500,-35,-0.77,4535,4545,4480,74141,333442795,190796518555,42446389
005830,DB손해보험,KOSPI,,103200,-1300,-1.24,105700,107900,102300,295547,30818696400,7271160000000,70800000
000990,DB하이텍,KOSPI,,43700,-600,-1.35,44500,45150,43600,389458,17262778300,1942438225000,44398588
139130,DGB금융지주,KOSPI,,8870,10,0.11,8920,8980,8830,420320,3742085380,1500323538710,169145833
060900,DGP,KOSDAQ,중견기업부,1577,-31,-1.93,1647,1673,1577,133299,213031745,39857485362,25258229
