종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
172670,에이엘티,KOSDAQ,벤처기업부,22400,-550,-2.4,23700,24500,22350,823472,19444709000,200709801600,8960259
234070,에이원알폼,KONEX,일반기업부,1313,-2,-0.15,1118,1313,1118,981,1096953,9110226866,6938482
445090,에이직랜드,KOSDAQ,벤처기업부,66600,-5900,-8.14,69900,70800,66600,922199,62868708900,711181706400,10678404
072990,에이치시티,KOSDAQ,우량기업부,9620,-140,-1.43,9880,9890,9410,38127,367758660,68980796820,7170561
227100,에이치앤비디자인,KOSDAQ,중견기업부,899,-50,-5.27,951,1091,859,2321453,2221592676,14057338461,15636639
044990,에이치엔에스하이텍,KONEX,일반기업부,23050,50,0.22,22600,23200,22600,4177,96041550,173130025200,7511064
239610,에이치엘사이언스,KOSDAQ,우량기업부,15680,-80,-0.51,15910,15910,15550,4024,62849850,84548363200,5392115
462020,에이치엠씨제6호스팩,KOSDAQ,SPAC(소속부없음),2070,-5,-0.24,2070,2070,2060,220,454880,8994150000,4345000
148930,에이치와이티씨,KOSDAQ,중견기업부,7140,-130,-1.79,7310,7380,7130,56252,406855930,72651020820,10175213
044780,에이치케이,KOSDAQ,벤처기업부,1615,-17,-1.04,1632,1632,1610,36183,58609599,29886846005,18505787
357230,에이치피오,KOSDAQ,중견기업부,4690,125,2.74,4530,4690,4450,71676,328786205,99192210250,21149725
355690,에이텀,KOSDAQ,기술성장기업부,14340,10,0.07,14300,14860,14300,13137,188651160,77396134800,5397220
071670,에이테크솔루션,KOSDAQ,우량기업부,10390,10,0.1,10450,10450,10330,21773,225877780,103900000000,10000000
045660,에이텍,KOSDAQ,우량기업부,14180,30,0.21,14300,14350,14060,64379,912258940,117126800000,8260000
224110,에이텍모빌리티,KOSDAQ,벤처기업부,14280,-130,-0.9,14600,14600,14260,10017,143809730,76255200000,5340000
021080,에이티넘인베스트,KOSDAQ,우량기업부,3020,-55,-1.79,3090,3110,2990,351938,1068536845,144960000000,48000000
089530,에이티세미콘,KOSDAQ,관리종목(소속부없음),600,0,0.0,0,0,0,0,0,43367041800,72278403
200470,에이팩트,KOSDAQ,우량기업부,5020,130,2.66,4735,5140,4715,1919740,9487340160,212657706860,42362093
207490,에이펙스인텍,KONEX,일반기업부,6800,-200,-2.86,7000,7000,6800,1500,10270000,24480000000,3600000
262260,에이프로,KOSDAQ,벤처기업부,13500,-170,-1.24,13670,13980,13330,147027,2001527420,195320052000,14468152
007460,에이프로젠,KOSPI,,904,93,11.47,811,920,806,15773207,13991272667,239412881232,264837258
109960,에이프로젠 H&G,KOSDAQ,중견기업부,598,11,1.87,587,615,572,503402,302068626,68263061048,114152276
003060,에이프로젠바이오로직스,KOSPI,,187,3,1.63,184,200,180,9468425,1787111981,124496126843,665754689
397030,에이프릴바이오,KOSDAQ,기술성장기업부,15310,700,4.79,16000,17500,15150,3413349,55394411630,331042465300,21622630
244920,에이플러스에셋,KOSPI,,4015,-15,-0.37,4005,4040,4000,14707,59150485,90769887395,22607693
278470,에이피알,KOSPI,,250500,-11500,-4.39,259500,262000,250000,211839,53926617500,1899886689000,7584378
089970,에이피티씨,KOSDAQ,우량기업부,15770,1250,8.61,14240,15790,14040,325389,4956753930,378173983150,23980595
230240,에치에프알,KOSDAQ,우량기업부,14720,20,0.14,14750,14820,14590,44023,646929790,198558462720,13489026
230360,에코마케팅,KOSDAQ GLOBAL,우량기업부,10420,-70,-0.67,10440,10690,10400,111084,1167403980,337274862180,32368029
038870,에코바이오,KOSDAQ,중견기업부,5460,70,1.3,5340,5520,5340,83492,454604590,76521621540,14014949
097780,에코볼트,KOSDAQ,중견기업부,1030,3,0.29,1027,1032,1021,35402,36335728,69762248140,67730338
448280,에코아이,KOSDAQ,중견기업부,31600,-250,-0.78,32250,32550,31500,57647,1840568300,312114558800,9877043
101360,에코앤드림,KOSDAQ,우량기업부,61500,1700,2.84,59800,68100,58100,1350895,85122825300,704499904500,11455283
128540,에코캡,KOSDAQ,벤처기업부,2425,-30,-1.22,2450,2490,2400,97019,235309485,64724365500,26690460
086520,에코프로,KOSDAQ,우량기업부,585000,-6000,-1.02,591000,597000,585000,158601,93289055000,15577185780000,26627668
450080,에코프로머티,KOSPI,,156800,500,0.32,156300,162000,152000,446804,70474440900,10816882182400,68985218
247540,에코프로비엠,KOSDAQ GLOBAL,우량기업부,245000,-2000,-0.81,245000,249000,244000,349905,86002621000,23961329280000,97801344
383310,에코프로에이치엔,KOSDAQ,중견기업부,69000,9000,15.0,62300,73000,61600,2215464,154219207400,1056040308000,15304932
038110,에코플라스틱,KOSDAQ,우량기업부,5390,-80,-1.46,5390,5410,5260,842255,4488836750,221902904300,41169370
073540,에프알텍,KOSDAQ,벤처기업부,2200,-65,-2.87,2255,2300,2200,25001,55808080,25080000000,11400000
064850,에프앤가이드,KOSDAQ,벤처기업부,5740,0,0.0,5740,5750,5640,7186,41074780,69339200000,12080000
036810,에프에스티,KOSDAQ,우량기업부,23000,-100,-0.43,22750,23050,22400,137532,3114176650,500406147000,21756789
173940,에프엔씨엔터,KOSDAQ,중견기업부,4220,30,0.72,4170,4490,4105,26469,110671625,64957649760,15392808
083500,에프엔에스테크,KOSDAQ,벤처기업부,13410,-350,-2.54,13410,13700,12740,471575,6261858980,115000432020,8575722
446440,에피바이오텍,KONEX,일반기업부,11330,-350,-3.0,11330,11330,11330,91,1031030,26030720320,2297504
054940,엑사이엔씨,KOSDAQ,중견기업부,786,1,0.13,793,795,784,74937,58988341,26074408728,33173548
043090,엑서지21,KOSDAQ,투자주의환기종목(소속부없음),490,44,9.87,448,555,438,3444295,1766850208,34133214290,69659621
