종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2845,-20,-0.7,2865,2870,2815,502835,1428527930,138086746490,48536642
095570,AJ네트웍스,KOSPI,,4550,80,1.79,4470,4550,4455,109460,493011815,205900053450,45252759
006840,AK홀딩스,KOSPI,,15790,-120,-0.75,16020,16020,15710,7629,120270050,209178988190,13247561
054620,APS,KOSDAQ,중견기업부,6960,-90,-1.28,7010,7060,6850,62072,431933140,141943778160,20394221
265520,AP시스템,KOSDAQ,우량기업부,21650,200,0.93,21500,21750,21250,53742,1156422200,330842764650,15281421
211270,AP위성,KOSDAQ,벤처기업부,16040,0,0.0,16040,16040,15790,171781,2730030470,241920156160,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7120,-280,-3.78,7400,7540,6800,84497,602851500,61408768240,8624827
027410,BGF,KOSPI,,3775,-45,-1.18,3835,3835,3740,94345,354893440,361330886025,95716791
282330,BGF리테일,KOSPI,,128300,-500,-0.39,129600,129600,126800,48473,6196399200,2217525139800,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4520,-30,-0.66,4515,4560,4485,70396,317614560,244230403000,54033275
138930,BNK금융지주,KOSPI,,7840,-80,-1.01,7940,7960,7810,1022931,8055255720,2525173353920,322088438
001460,BYC,KOSPI,,474000,0,0.0,479000,479500,471000,326,154479500,296067510000,624615
001465,BYC우,KOSPI,,170300,1600,0.95,167500,170300,166500,763,128074400,36680065500,215385
013720,CBI,KOSDAQ,중견기업부,1623,-67,-3.96,1690,1699,1608,401576,658856737,69519887124,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3285,-175,-5.06,3460,3460,3255,351341,1171773560,252597387870,76894182
001040,CJ,KOSPI,,92100,-700,-0.75,93700,93900,91200,85565,7877619900,2687201515800,29176998
079160,CJ CGV,KOSPI,,5760,50,0.88,5710,5770,5590,346843,1976784070,705207312000,122431825
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,75400,600,0.8,74200,75700,72500,103261,7707399100,1653458211600,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14610,30,0.21,14590,14710,14490,7103,103954960,133133654220,9112502
00104K,CJ4우(전환),KOSPI,,72400,-100,-0.14,73000,73600,71900,5902,427087500,305999468800,4226512
000120,CJ대한통운,KOSPI,,121400,-1800,-1.46,123700,125200,120100,120396,14627851300,2769418561600,22812344
011150,CJ씨푸드,KOSPI,,2725,-10,-0.37,2715,2735,2715,50415,137163990,97911356425,35930773
011155,CJ씨푸드1우,KOSPI,,20050,-100,-0.5,20650,20650,20000,181,3629500,4010000000,200000
001045,CJ우,KOSPI,,56400,-300,-0.53,56600,56900,56100,951,53680400,127476577200,2260223
097950,CJ제일제당,KOSPI,,290000,2500,0.87,289500,290500,286000,20990,6059467500,4365713940000,15054186
097955,CJ제일제당 우,KOSPI,,136500,-300,-0.22,136400,137600,135100,2077,283705100,181194604500,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,24000,0,0.0,24100,24100,23450,45808,1085531900,284918064000,11871586
058820,CMG제약,KOSDAQ,중견기업부,2195,-5,-0.23,2200,2215,2185,308617,679274880,304868475580,138892244
023460,CNH,KOSDAQ,중견기업부,1793,-15,-0.83,1806,1806,1766,5064,9060251,66699600000,37200000
056730,CNT85,KOSDAQ,중견기업부,1200,-9,-0.74,1209,1209,1185,19813,23708370,88933423200,74111186
000480,CR홀딩스,KOSPI,,6220,-20,-0.32,6240,6240,6100,33825,208280280,291658847800,46890490
065770,CS,KOSDAQ,벤처기업부,1221,3,0.25,1211,1240,1211,31534,38620740,23700989730,19411130
