종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2435,-45,-1.81,2440,2465,2410,395414,962534815,125157372900,51084642
095570,AJ네트웍스,KOSPI,,4835,60,1.26,4775,4865,4755,157790,758110275,218118298380,45252759
006840,AK홀딩스,KOSPI,,14880,0,0.0,14990,14990,14730,4805,71328270,197123707680,13247561
054620,APS,KOSDAQ,중견기업부,6790,-190,-2.72,7040,7040,6780,34561,235880630,135280702800,19894221
265520,AP시스템,KOSDAQ,우량기업부,27800,-950,-3.3,28350,29300,27800,486888,13845999850,425587574850,15281421
211270,AP위성,KOSDAQ,벤처기업부,18240,-310,-1.67,18290,18640,17860,339821,6161553140,276307809280,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,575,-17,-2.87,586,596,571,263461,153247805,65523406424,114152276
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3615,-55,-1.5,3660,3670,3605,113213,409886140,346016199465,95716791
282330,BGF리테일,KOSPI,,117900,-600,-0.51,117400,120100,117200,46827,5561954500,2044686079800,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4195,100,2.44,4115,4350,4060,166372,703851450,228020420500,54033275
138930,BNK금융지주,KOSPI,,8400,-50,-0.59,8370,8490,8270,717552,6018248400,2705542879200,322088438
001460,BYC,KOSPI,,38850,-250,-0.64,39250,39250,38050,2350,90735600,242350620000,6246150
001465,BYC우,KOSPI,,16000,430,2.76,15540,16000,15540,4073,64009880,33621598500,2153850
013720,CBI,KOSDAQ,중견기업부,1410,9,0.64,1402,1435,1390,336629,474816617,61941164160,43867680
083790,CG인바이츠,KOSDAQ,벤처기업부,2555,5,0.2,2520,2590,2520,53166,135599555,196080164100,76894182
001040,CJ,KOSPI,,141000,3800,2.77,136500,141600,134800,184427,25716085300,4119792117600,29176998
