종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2555,45,1.79,2510,2570,2510,356504,909011570,130521260310,51084642
095570,AJ네트웍스,KOSPI,,4355,30,0.69,4300,4370,4285,88005,380136495,195944446470,45252759
006840,AK홀딩스,KOSPI,,14110,0,0.0,14110,14230,14060,2326,32784010,186923085710,13247561
054620,APS,KOSDAQ,중견기업부,6930,60,0.87,6920,6990,6710,89068,606578530,136673298270,19894221
265520,AP시스템,KOSDAQ,우량기업부,25550,550,2.2,25300,25800,24950,106322,2690812850,390440306550,15281421
211270,AP위성,KOSDAQ,벤처기업부,13900,190,1.39,13710,14070,13710,89889,1247800560,209040733440,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,651,4,0.62,642,661,642,191681,125019605,74313713019,114153169
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3460,-15,-0.43,3485,3495,3460,76226,264434795,332137264770,95716791
282330,BGF리테일,KOSPI,,101500,-2500,-2.4,104800,104800,100800,79069,8038565000,1750859677800,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4105,-20,-0.48,4145,4180,4065,60721,248558160,222887259375,54033275
138930,BNK금융지주,KOSPI,,8790,160,1.85,8680,8790,8600,1155379,10101863400,2824715601260,322088438
001460,BYC,KOSPI,,34550,-250,-0.72,34800,34800,34300,872,30133900,214867560000,6246150
001465,BYC우,KOSPI,,15010,-120,-0.79,15250,15250,14950,2584,38700980,32393904000,2153850
013720,CBI,KOSDAQ,중견기업부,1297,107,8.99,1270,1495,1253,6456432,8858231157,57838064256,44628136
083790,CG인바이츠,KOSDAQ,벤처기업부,2935,-90,-2.98,3025,3030,2900,254780,751046020,229144662360,76894182
001040,CJ,KOSPI,,106400,-10600,-9.06,116400,119400,105700,334379,36614972200,3104432587200,29176998
079160,CJ CGV,KOSPI,,5540,-20,-0.36,5600,5600,5540,175403,974513260,922277542070,165579451
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,69100,-9300,-11.86,77000,78000,68400,633302,44899244700,1517497456800,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,12230,70,0.58,12160,12260,12020,4143,50266730,111537024480,9112502
00104K,CJ4우(전환),KOSPI,,76700,-7400,-8.8,83900,84100,76500,41160,3248433900,325018772800,4226512
000120,CJ대한통운,KOSPI,,94700,400,0.42,95500,95600,93600,43612,4111805300,2155766508000,22812344
011150,CJ씨푸드,KOSPI,,4550,-170,-3.6,4700,4910,4530,1378322,6390443100,163125709420,35930773
011155,CJ씨푸드1우,KOSPI,,21500,150,0.7,21700,21700,21500,618,13310850,4310000000,200000
001045,CJ우,KOSPI,,56500,-2400,-4.07,59000,59400,56100,7789,445716800,127928621800,2260223
097950,CJ제일제당,KOSPI,,365500,0,0.0,368500,375000,361000,43515,15931769500,5472196611000,15054186
097955,CJ제일제당 우,KOSPI,,146500,200,0.14,147500,148000,146000,2890,424365100,194867164400,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,20150,150,0.75,20200,20200,19960,17182,343645040,238618878600,11871586
058820,CMG제약,KOSDAQ,우량기업부,2120,-20,-0.93,2125,2145,2115,263849,559878075,295146018500,138892244
023460,CNH,KOSDAQ,중견기업부,2085,-20,-0.95,2030,2230,2025,243034,511419985,78120000000,37200000
056730,CNT85,KOSDAQ,중견기업부,886,-1,-0.11,886,890,877,51343,45299388,65662510796,74111186
000480,CR홀딩스,KOSPI,,6160,-10,-0.16,6200,6200,6130,10634,65378110,289314323300,46890490
065770,CS,KOSDAQ,벤처기업부,1193,-22,-1.81,1215,1215,1185,31315,37436612,23118655830,19411130
