종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,3005,20,0.67,2980,3230,2960,5927457,18282787440,145852609210,48536642
095570,AJ네트웍스,KOSPI,,4895,-35,-0.71,4930,4950,4725,433393,2095082210,222191046690,45252759
006840,AK홀딩스,KOSPI,,15400,-40,-0.26,15560,15870,15220,23728,367097440,204542341840,13247561
054620,APS,KOSDAQ,중견기업부,7460,150,2.05,7370,7630,7320,92975,698333940,152140888660,20394221
265520,AP시스템,KOSDAQ,우량기업부,20950,-50,-0.24,21100,21250,20850,57409,1208988950,320145769950,15281421
211270,AP위성,KOSDAQ,벤처기업부,16470,180,1.1,16300,16490,16220,173480,2842108110,248556369920,15082304
139050,BF랩스,KOSDAQ,벤처기업부,7450,-360,-4.61,7760,7790,7360,80173,607060670,63623895360,8644551
027410,BGF,KOSPI,,3860,20,0.52,3865,3865,3795,61110,234306495,368988229305,95716791
282330,BGF리테일,KOSPI,,117900,-300,-0.25,118600,119300,117600,61471,7260806100,2037772517400,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4375,5,0.11,4370,4425,4350,106935,469795650,236665744500,54033275
138930,BNK금융지주,KOSPI,,8360,300,3.72,8130,8400,8120,1805867,14967143800,2692659341680,322088438
001460,BYC,KOSPI,,493000,3500,0.72,481000,496000,479000,146,71467500,305436735000,624615
001465,BYC우,KOSPI,,180100,400,0.22,176700,180400,176700,291,52119300,38790838500,215385
013720,CBI,KOSDAQ,중견기업부,1608,-34,-2.07,1642,1642,1560,719790,1149300877,68620369176,42834188
083790,CG인바이츠,KOSDAQ,벤처기업부,3900,135,3.59,3750,4030,3750,679188,2628274600,300656251620,76894182
001040,CJ,KOSPI,,119200,7000,6.24,114200,122000,111000,588283,69782343500,3463309662600,29176998
079160,CJ CGV,KOSPI,,5610,-20,-0.36,5630,5670,5600,342379,1925325630,688067171220,122431881
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,75100,500,0.67,75300,76400,74600,62873,4732920900,1646879465400,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14890,280,1.92,14650,14950,14650,3808,56380980,135867404820,9112502
00104K,CJ4우(전환),KOSPI,,88100,4100,4.88,84000,89500,83200,45167,3921699400,373201009600,4226512
000120,CJ대한통운,KOSPI,,120000,-8700,-6.76,122100,125000,115500,737922,87984919600,2739762514400,22812344
011150,CJ씨푸드,KOSPI,,2715,15,0.56,2700,2715,2700,62299,168647865,97552048695,35930773
011155,CJ씨푸드1우,KOSPI,,19980,-520,-2.54,21100,21100,19980,1002,20040890,4010000000,200000
001045,CJ우,KOSPI,,61100,2400,4.09,59900,61600,58200,19324,1177666800,138325647600,2260223
097950,CJ제일제당,KOSPI,,288500,-3500,-1.2,293000,293000,286000,53814,15493100000,4343132661000,15054186
097955,CJ제일제당 우,KOSPI,,137300,700,0.51,136600,138600,136600,2252,309804900,182522037500,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23950,50,0.21,24100,24100,23500,24887,592114750,284324484700,11871586
058820,CMG제약,KOSDAQ,중견기업부,2220,25,1.14,2200,2225,2200,364362,806684550,308340781680,138892244
023460,CNH,KOSDAQ,중견기업부,1794,1,0.06,1794,1798,1753,6033,10759113,66736800000,37200000
056730,CNT85,KOSDAQ,중견기업부,1193,28,2.4,1198,1198,1167,28645,34003023,88340533712,74111186
000480,CR홀딩스,KOSPI,,6130,0,0.0,6200,6200,6100,11520,70586930,288376513500,46890490
065770,CS,KOSDAQ,벤처기업부,1234,10,0.82,1224,1245,1218,30096,36946025,23972745550,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1238,-13,-1.04,1248,1262,1202,47201,58433921,75762762897,61247181
000590,CS홀딩스,KOSPI,,65500,-800,-1.21,66300,66300,65500,2364,155138600,75849467400,1154482
012030,DB,KOSPI,,1575,4,0.25,1580,1594,1572,214650,339045193,316446596609,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2255,5,0.22,2245,2260,2210,2215,4942255,11799300000,5315000
016610,DB금융투자,KOSPI,,4545,80,1.79,4470,4565,4460,72484,328772715,192494374115,42446389
005830,DB손해보험,KOSPI,,103100,2400,2.38,101700,104100,99500,224621,22986905500,7278240000000,70800000
000990,DB하이텍,KOSPI,,45500,850,1.9,45200,45900,44650,353889,16017643050,2022355683400,44398588
139130,DGB금융지주,KOSPI,,8970,240,2.75,8810,9020,8760,826665,7360733290,1515546663680,169145833
060900,DGP,KOSDAQ,중견기업부,1656,-32,-1.9,1700,1701,1655,255593,426725884,41878143682,25258229
